"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"WEIZMANIND","Weizmann Limited",143097,29217,4.897596670522764,15009,9.534079552268638,87.77,5.52,13581336
"SURAJLTD","Suraj Limited",42867,8978,4.774246001692877,5397,7.941568787283708,223,-4.85,10220778
"REDINGTON","Redington Limited",92286714,19544722,4.721822802084368,10115626,9.123182954910911,275.65,12.72,25525582225
"FOSECOIND","Foseco India Limited",98310,20933,4.696412363254192,11226,8.757036984251407,5350,13.08,521941553
"POLYPLEX","Polyplex Corporation Limited",2440929,524061,4.657712124791389,278886,8.752422583986796,844.95,0.65,2183923585
"VMM","Vishal Mega Mart Limited",786031801,172158310,4.56574997795256,87982752,8.933930586908827,117.85,-7.59,92240831847
"GODAVARIB","Godavari Biorefineries Limited",5557517,1246530,4.4583879449088535,713403,7.790146500563356,292,2.98,1696765515
"MANUGRAPH","Manugraph India Limited",318954,71665,4.4505995919927885,43593,7.3164823518886815,15,3.81,4953355
"XTGLOBAL","Xtglobal Infotech Limited",1459287,329386,4.43032221750638,170363,8.56571558377753,38.79,15.34,56561964
"AVADHSUGAR","Avadh Sugar & Energy Limited",783512,179385,4.367762780876014,103541,7.5671520129185295,380,14.05,289711397
"TOUCHWOOD","Touchwood Entertainment Limited",44555,10314,4.319688978515473,6620,6.729549299178347,73.1,-9.9,3456576
"SPLPETRO","Supreme Petrochem Limited",801035,188854,4.241552478049204,119924,6.679499751510118,722,11.01,565891175
"BANKBETF","Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty Bank ETF",336592,80321,4.190574842009332,51822,6.495043696898476,61.24,-0.95,20596064
"LTF","L&T Finance Limited",99977962,23985376,4.1682881546392885,14366662,6.959024895308844,280.25,-6.55,28479722255
"CONS","Kotak Nifty India Consumption ETF",126618,30733,4.119909413923705,19660,6.4400917557182025,12,-0.25,1506754
"NV20","Kotak Nifty 50 value 20 ETF",273591,67064,4.0795143786736965,39422,6.940041245900142,15.14,-0.98,4166790
"GRINDWELL","Grindwell Norton Limited",378359,95082,3.9792915588649795,73083,5.1770641059497535,1660,-0.29,630489870
"SARDAEN","Sarda Energy & Minerals Limited",6321104,1603819,3.9412816679982794,908789,6.955517441380016,549,5.8,3477239310
"CHEMPLASTS","Chemplast Sanmar Limited",1874155,477815,3.922341138439657,316926,5.913532001899494,242.9,-4.93,461997949
"LICNETFN50","LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50",7139,1825,3.910066820024099,3838,1.859937993382487,281.46,-1.05,2009628
"OMFREIGHT","Om Freight Forwarders Limited",594261,153124,3.880903370070348,90228,6.586207622680739,83.4,2.12,47297232
"SOMANYCERA","Somany Ceramics Limited",315945,82567,3.826500951947253,69711,4.532211559151354,406,0.35,128140973
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited",57604,15114,3.811250347355467,9324,6.17770389833235,592,-1.55,35117702
"MAGADSUGAR","Magadh Sugar & Energy Limited",35493,9422,3.766874681609781,10222,3.4722167873214635,462,3.95,16355884
"TARMAT","Tarmat Limited",1079691,287078,3.7609621622525413,151772,7.113896427604283,70.45,8.57,76042637
