"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,382.75","-0.38","-0.38","31.19","4.52","1.21"
"NIFTY FINANCIAL SERVICES 25/50","28,836.00","-0.20","-0.20","16.96","2.92","0.96"
"NIFTY FMCG","48,377.90","0.18","0.18","34.59","8.52","1.70"
"NIFTY IT","31,817.50","0.88","0.88","22.43","5.90","3.33"
"NIFTY MEDIA","1,397.90","0.59","0.59","29.46","1.47","1.25"
"NIFTY METAL","12,740.20","1.53","1.53","21.60","3.32","1.56"
"NIFTY PHARMA","22,465.00","0.13","0.13","33.63","4.90","0.70"
"NIFTY PSU BANK","8,797.60","-0.17","-0.17","8.67","1.43","2.20"
"NIFTY PRIVATE BANK","26,877.40","-0.56","-0.56","18.76","2.14","0.60"
"NIFTY REALTY","779.55","0.39","0.39","36.88","3.73","0.38"
"NIFTY HEALTHCARE INDEX","14,434.95","0.08","0.08","36.66","5.41","0.59"
"NIFTY CONSUMER DURABLES","37,578.60","0.58","0.58","60.53","12.28","0.38"
"NIFTY OIL & GAS","11,254.95","-0.17","-0.17","9.39","1.53","2.35"
"NIFTY MIDSMALL HEALTHCARE","43,924.65","-0.17","-0.17","41.58","5.42","0.44"
"NIFTY FINANCIAL SERVICES EX-BANK","31,167.75","0.54","0.54","22.90","4.20","0.77"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,954.20","0.87","0.87","32.23","3.16","0.53"
"NIFTY MIDSMALL IT & TELECOM","8,740.15","1.02","1.02","60.42","8.17","1.19"
"NIFTY CHEMICALS","27,617.85","0.25","0.25","38.92","4.07","0.62"
"NIFTY500 HEALTHCARE","18,432.15","0.01","0.01","38.24","5.63","0.54"
