"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,085.75","1.15","1.15","30.84","4.47","1.22"
"NIFTY FINANCIAL SERVICES 25/50","28,261.80","-0.28","-0.28","16.42","2.86","0.98"
"NIFTY FMCG","51,771.80","1.75","1.75","36.83","9.12","1.59"
"NIFTY IT","29,245.20","0.99","0.99","20.07","5.42","3.67"
"NIFTY MEDIA","1,463.60","-0.49","-0.49","30.74","1.54","1.20"
"NIFTY METAL","13,111.35","0.50","0.50","22.12","3.41","1.52"
"NIFTY PHARMA","23,260.85","0.44","0.44","34.82","5.07","0.68"
"NIFTY PSU BANK","8,627.70","-0.41","-0.41","8.44","1.40","2.25"
"NIFTY PRIVATE BANK","26,514.60","0.44","0.44","17.59","2.11","0.61"
"NIFTY REALTY","805.60","1.48","1.48","37.43","3.86","0.37"
"NIFTY HEALTHCARE INDEX","14,941.05","0.25","0.25","37.94","5.60","0.57"
"NIFTY CONSUMER DURABLES","37,868.05","-0.40","-0.40","60.12","12.38","0.37"
"NIFTY OIL & GAS","11,769.25","0.71","0.71","9.81","1.60","2.25"
"NIFTY MIDSMALL HEALTHCARE","45,028.25","-0.34","-0.34","42.63","5.56","0.42"
"NIFTY FINANCIAL SERVICES EX-BANK","31,126.30","0.12","0.12","22.52","4.20","0.78"
"NIFTY MIDSMALL FINANCIAL SERVICES","21,390.30","0.66","0.66","29.56","3.22","0.52"
"NIFTY MIDSMALL IT & TELECOM","8,520.25","0.35","0.35","59.93","7.96","1.23"
"NIFTY CHEMICALS","28,480.05","0.56","0.56","39.82","4.20","0.60"
"NIFTY500 HEALTHCARE","19,041.85","0.12","0.12","39.51","5.81","0.53"
