"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","25,652.85","-0.68","-0.68","30.33","4.40","1.24"
"NIFTY FINANCIAL SERVICES 25/50","28,493.85","-0.60","-0.60","16.62","2.88","0.99"
"NIFTY FMCG","50,766.25","-0.73","-0.73","36.18","8.95","1.62"
"NIFTY IT","28,530.60","-5.29","-5.29","19.96","5.29","3.93"
"NIFTY MEDIA","1,438.70","-1.87","-1.87","30.46","1.52","1.22"
"NIFTY METAL","12,746.65","-0.31","-0.31","21.62","3.32","1.56"
"NIFTY PHARMA","22,580.10","-1.77","-1.77","33.80","4.92","0.70"
"NIFTY PSU BANK","8,811.20","-0.15","-0.15","8.65","1.43","2.20"
"NIFTY PRIVATE BANK","26,717.30","-0.48","-0.48","18.40","2.13","0.61"
"NIFTY REALTY","778.00","-1.35","-1.35","36.80","3.73","0.38"
"NIFTY HEALTHCARE INDEX","14,570.60","-1.49","-1.49","37.00","5.47","0.58"
"NIFTY CONSUMER DURABLES","37,082.20","-0.58","-0.58","58.88","12.12","0.38"
"NIFTY OIL & GAS","11,331.70","-0.72","-0.72","9.46","1.54","2.34"
"NIFTY MIDSMALL HEALTHCARE","44,527.50","-1.20","-1.20","42.15","5.49","0.43"
"NIFTY FINANCIAL SERVICES EX-BANK","30,948.70","-0.60","-0.60","22.61","4.17","0.80"
"NIFTY MIDSMALL FINANCIAL SERVICES","21,037.70","-0.69","-0.69","31.73","3.17","0.53"
"NIFTY MIDSMALL IT & TELECOM","8,244.70","-2.83","-2.83","57.28","7.71","1.27"
"NIFTY CHEMICALS","27,844.95","-0.97","-0.97","39.24","4.11","0.62"
"NIFTY500 HEALTHCARE","18,671.90","-1.20","-1.20","38.74","5.70","0.54"
