"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"SUDARSCHEM","Sudarshan Chemical Industries Limited",6773172,1280275,5.290401535419405,745069,9.090653240732525,861.8,5.68,5045050080
"SURAJEST","Suraj Estate Developers Limited",10358736,2157269,4.801780917878785,1232039,8.407798020842051,240.35,5.78,2647485746
"ORISSAMINE","The Orissa Minerals Development Company Limited",638900,133913,4.770979540570128,80703,7.916682155558034,4277,12.53,2772417104
"FSL","Firstsource Solutions Limited",70448634,14923708,4.720585125358926,8938446,7.881530217730111,242,9.82,17479715068
"OAL","Oriental Aromatics Limited",553531,118779,4.660167773482226,74872,7.392986887328375,315,11.07,183993704
"INDIQUBE","Indiqube Spaces Limited",1495907,322023,4.645342102893272,194782,7.6798686400699125,158.5,2.54,261469584
"SONATSOFTW","Sonata Software Limited",21846812,4762329,4.587421826589469,2962794,7.37371953635656,277.4,9.3,6223719802
"MANAKSTEEL","Manaksia Steels Limited",603488,133723,4.512964092992092,84197,7.167533456412639,68.04,20,40669056
"SINTERCOM","Sintercom India Limited",131153,29788,4.4027621119346865,42608,3.0781148135206036,82.1,-1.12,10883075
"TOKYOPLAST","Tokyo Plast International Limited",158149,36260,4.361431628645811,21490,7.359190321079572,89,19.99,13817478
"NLCINDIA","NLC India Limited",41546367,9715407,4.27633803032618,6197791,6.7034149369554985,300.85,9.32,12432750324
"SGFIN","SG Finserve Limited",4032973,953945,4.22767785822498,613247,6.576419202105802,514.6,11.05,2046209511
"HDBFS","HDB Financial Services Limited",12462293,2980395,4.181422425935671,1994335,6.2488449647303845,685,6.32,8669144879
"KIOCL","KIOCL Limited",4323084,1036411,4.17120379586643,674596,6.408401271081125,394,7.47,1707834334
"PALASHSECU","Palash Securities Limited",17116,4163,4.111260568793236,3583,4.776410033797402,96.95,-1.32,1635604
"ELGIRUBCO","Elgi Rubber Company Limited",696528,171449,4.062581656650117,105444,6.6056187388237975,54.64,11.58,38023463
"SHAHALLOYS","Shah Alloys Limited",49874,12319,4.048345725510568,10057,4.958859011467332,72.5,3.51,3625341
"ASHAPURMIN","Ashapura Minechem Limited",6456710,1599792,4.035967921333783,1082990,5.961925802992455,611.45,12.82,3906696952
"LAL","Lorenzini Apparels Limited",527020,132379,3.9811209867366473,89603,5.881722710177114,7.79,-0.26,4110756
"GMDCLTD","Gujarat Mineral Development Corporation Limited",51557208,13062727,3.9468946423377806,8455737,6.09730506045777,746.75,20,36713372244
"ASKAUTOLTD","ASK Automotive Limited",1625220,412840,3.9366786777650637,274838,5.913364861619715,435.05,-1.16,713715363
"GROWWLOVOL","Groww Mutual Fund - Groww Nifty 500 Low Volatility 50 ETF",223837,57017,3.9257665203955283,36611,6.113927508125973,10.23,-0.39,2301044
"KOTHARIPRO","Kothari Products Limited",254190,65115,3.9037088228518773,42734,5.948191135863715,73.25,7.59,19313356
"AROGRANITE","Aro Granite Industries Limited",143063,37162,3.8496913530415315,23883,5.989965294900304,29.2,14.55,4114491
"SWANCORP","SWAN CORP LIMITED",17626892,4597341,3.8341488481082195,2986355,5.902476221573536,350.8,5.6,6402615981
