"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"NIACL","The New India Assurance Company Limited",76076824,547691,138.90459441378644,615614,123.57859936376619,155.92,19.99,11507380398
"CREST","Crest Ventures Limited",157409,2700,58.28236078199052,12401,12.692610847368792,346,2.25,54304530
"MSCIINDIA","Kotak Mahindra Mutual Fund - Kotak MSCI India ETF",6299339,116929,53.872827970286444,87735,71.79910099232781,29.17,1.5,183562738
"COHANCE","Cohance Lifesciences Limited",47632246,974637,48.87178098102165,885887,53.767804418815416,373.3,17.82,17385293467
"ASTEC","Astec LifeSciences Limited",3451171,88406,39.03748136451351,174899,19.732323228713653,652.2,16.46,2229663536
"HIRECT","Hind Rectifiers Limited",1839095,62384,29.48004629362469,97061,18.947729017169525,847.4,19.99,1503717635
"ARIHANTSUP","Arihant Superstructures Limited",493514,17698,27.885297773759746,34558,14.280538796533415,267,17.22,126453092
"ATLASCYCLE","Atlas Cycles (Haryana) Limited",47089,1901,24.765435994530346,3738,12.59485122032765,103.06,19.99,4758343
"ECAPINSURE","Edelweiss Mutual Fund - Edelweiss BSE Capital Markets & Insurance ETF",996817,41404,24.0752628960347,82029,12.151877593376803,23.64,2.87,23235804
"INVENTURE","Inventure Growth & Securities Limited",37706267,1678798,22.460276340572243,1980015,19.04342372132132,0.95,-12.84,34312702
"FILATFASH","Filatex Fashions Limited",148575615,7128380,20.842829178981525,47207423,3.147293488144862,0.21,5,29715123
"SAATVIKGL","Saatvik Green Energy Limited",2170750,119606,18.14905172615604,154448,14.054835386200427,462.45,9.99,986540752
"ANDHRSUGAR","The Andhra Sugars Limited",3008053,167893,17.91646713505967,223397,13.465055484182868,80.5,7.89,244644950
"ROSSTECH","Rossell Techsys Limited",1121414,62632,17.904751868847015,56489,19.851592873944224,930,16.5,1021125945
"AURIGROW","Auri Grow India Limited",65437848,3715517,17.61204186528638,5248003,12.469093818249169,0.32,3.23,20285732
"AVANTIFEED","Avanti Feeds Limited",8726752,545011,16.012059935649027,481385,18.128425272910455,1449,12.67,12544618732
"ARENTERP","Rajdarshan Industries Limited",18700,1240,15.080645161290322,1292,14.463888620322924,40.51,2.61,731918
"ITDC","India Tourism Development Corporation Limited",34374583,2452531,14.015958121317734,1555390,22.100298317463785,635.2,20,20536407121
"ELIQUID","Edelweiss Mutual Fund - Edelweiss Nifty 1D Rate Liquid ETF",20602,1527,13.486514794448809,1802,11.428095964498683,1026.26,0.04,21142802
"PRITI","Priti International Limited",310505,23388,13.276139249707118,25643,12.10840848159883,51,8.19,16341878
"INFOBEAN","InfoBeans Technologies Limited",11400369,954539,11.943319469054918,836814,13.623527787960239,188.97,20,2065632859
"HSBCGOLD","HSBC Mutual Fund - HSBC Gold ETF",154718,13212,11.709882990478786,16113,9.60191147037376,130,0.65,20104056
"AHCL","Anlon Healthcare Limited",1383314,118727,11.651216656699823,141400,9.782984441301274,129.55,6.53,182057955
"SECMARK","SecMark Consultancy Limited",22763,2026,11.234330273418221,7356,3.0944281126272326,132.46,19.98,2894543
"LIQUIDETF","DSP NIFTY 1D Rate Liquid ETF",1787919,164126,10.893535843671897,151219,11.823346049406698,1000.01,0,1787919000
