"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"PVTBANKADD","DSP Mutual Fund - DSP Nifty Private Bank ETF",3532167,21278,165.99465195405756,17978,196.4631324586395,29.2,2.06,101655766
"MAHLOG","Mahindra Logistics Limited",11266686,125698,89.6324069919522,96572,116.66510269732936,338.95,14.74,3804196527
"METROBRAND","Metro Brands Limited",2387587,42593,56.05585424835067,41318,57.785016645781006,1044,-1.7,2612903585
"SUPERHOUSE","Superhouse Limited",227235,4237,53.62604427243121,3379,67.24918614974844,158.49,12.22,36759805
"RPGLIFE","RPG Life Sciences Limited",184467,6284,29.35129200610998,5553,33.21535322009483,1968,-6.38,358085495
"TNPL","Tamil Nadu Newsprint & Papers Limited",1584296,59168,26.77595887007636,45932,34.49220586954628,139.5,6.66,211218342
"AONELIQUID","Angel One Mutual Fund - Angel One Nifty 1D Rate Liquid ETF - Growth",325805,13212,24.659778988798063,13163,24.750322858372794,1044.85,0.01,340420612
"MIRZAINT","Mirza International Limited",3736689,173057,21.59221922000356,153050,24.4147365975658,39,13.64,148197085
"REDTAPE","Redtape Limited",6624261,318157,20.820690752004666,826702,8.012872157952303,126.79,15.52,823461884
"IGIL","International Gemmological Institute (India) Limited",8808726,444648,19.810524620779365,369594,23.833520024675725,320.1,10,2793158927
"LIBERTSHOE","Liberty Shoes Limited",395351,22153,17.846225376017912,20731,19.070420195090577,259,10.75,105693136
"ITETF","Mirae Asset Mutual Fund - Mirae Asset Nifty IT ETF",2637677,163313,16.151033719258457,218988,12.044822760815386,40.63,0.35,106614904
"SPANDANA","Spandana Sphoorty Financial Limited",2813012,177911,15.811308325379937,157536,17.856249237390404,248.3,4.7,725644575
"SURAJLTD","Suraj Limited",84100,5619,14.964945371721413,3426,24.543597392911572,235,4.76,20935854
"MALLCOM","Mallcom (India) Limited",81561,5729,14.235025132644513,4510,18.083587899093416,1139,7.42,93326174
"TEJASNET","Tejas Networks Limited",33314967,2406769,13.842195491133548,3041828,10.952282141382858,338.25,14.22,11011262892
"DBSTOCKBRO","DB (International) Stock Brokers Limited",28343,2074,13.664545366888438,2018,14.042001541340966,24.98,1.17,685900
"CSBBANK","CSB Bank Limited",11245521,836698,13.44035198346262,873915,12.867975387394507,431,-13.75,5092196819
"CINELINE","Cineline India Limited",151717,11576,13.105941500665157,9350,16.22506743348741,88.49,4.96,13759214
"OIL","Oil India Limited",29364980,2285449,12.848668874372706,4629664,6.342787830008611,492.8,9.87,14273729478
"PIONEEREMB","Pioneer Embroideries Limited",155406,12690,12.24556371544741,10264,15.140061268009656,25.01,2.08,3836974
"EXCELINDUS","Excel Industries Limited",100749,8548,11.785714285714286,8977,11.222597653349176,917.2,1.43,91834728
"GANGAFORGE","Ganga Forging Limited",7620149,721756,10.55778222187369,507879,15.00384736804453,3.3,2.48,28118349
"BANKNIFTY1","Kotak Nifty Bank ETF",200886,20127,9.9809211506931,48544,4.138177756516923,614.5,0.57,123536854
"SIYSIL","Siyaram Silk Mills Limited",539814,54412,9.920863044916562,52089,10.363279166897753,524,-5.94,281507602
