"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,554.00","-0.93","-0.93","28.84","4.55","1.18"
"NIFTY FINANCIAL SERVICES 25/50","29,568.40","0.96","0.96","17.36","2.98","0.95"
"NIFTY FMCG","51,349.75","-0.60","-0.60","37.62","9.27","2.17"
"NIFTY IT","38,566.10","0.86","0.86","27.44","7.15","2.92"
"NIFTY MEDIA","1,332.05","-1.44","-1.44","28.87","1.40","1.49"
"NIFTY METAL","11,829.65","3.07","3.07","20.96","3.08","1.54"
"NIFTY PHARMA","21,788.45","0.30","0.30","32.37","4.72","0.71"
"NIFTY PSU BANK","8,935.75","1.76","1.76","9.03","1.46","2.15"
"NIFTY PRIVATE BANK","28,281.90","1.00","1.00","19.61","2.23","0.55"
"NIFTY REALTY","759.40","0.40","0.40","34.67","3.67","0.39"
"NIFTY HEALTHCARE INDEX","13,951.85","-0.04","-0.04","35.27","5.20","0.60"
"NIFTY CONSUMER DURABLES","33,954.60","-0.59","-0.59","56.49","10.64","0.43"
"NIFTY OIL & GAS","11,376.55","0.62","0.62","10.41","1.57","2.99"
"NIFTY MIDSMALL HEALTHCARE","41,354.65","-0.49","-0.49","39.02","4.99","0.47"
"NIFTY FINANCIAL SERVICES EX-BANK","30,595.40","0.34","0.34","23.24","4.31","0.81"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,399.20","0.97","0.97","28.58","2.93","0.66"
"NIFTY MIDSMALL IT & TELECOM","9,770.50","0.46","0.46","62.28","9.56","1.16"
"NIFTY CHEMICALS","27,266.75","-0.22","-0.22","36.67","4.02","0.64"
"NIFTY500 HEALTHCARE","17,689.65","-0.20","-0.20","36.30","5.32","0.57"
