"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,519.55","-0.52","-0.52","29.57","4.72","1.14"
"NIFTY FINANCIAL SERVICES 25/50","30,367.50","0.19","0.19","17.86","3.06","0.94"
"NIFTY FMCG","51,882.75","2.27","2.27","37.24","9.31","2.20"
"NIFTY IT","35,611.05","-1.47","-1.47","25.30","6.61","2.97"
"NIFTY MEDIA","1,390.75","-0.16","-0.16","29.98","1.46","1.39"
"NIFTY METAL","11,943.15","0.18","0.18","20.55","3.11","1.58"
"NIFTY PHARMA","21,961.35","-0.72","-0.72","33.21","4.78","0.67"
"NIFTY PSU BANK","8,876.20","-0.51","-0.51","8.88","1.45","2.16"
"NIFTY PRIVATE BANK","28,944.15","0.63","0.63","20.27","2.28","0.54"
"NIFTY REALTY","824.85","0.63","0.63","37.27","3.99","0.36"
"NIFTY HEALTHCARE INDEX","14,139.85","-0.62","-0.62","36.38","5.30","0.56"
"NIFTY CONSUMER DURABLES","36,437.30","0.96","0.96","60.38","11.42","0.40"
"NIFTY OIL & GAS","12,208.20","0.51","0.51","11.00","1.67","2.64"
"NIFTY MIDSMALL HEALTHCARE","41,394.40","-0.63","-0.63","39.04","5.05","0.46"
"NIFTY FINANCIAL SERVICES EX-BANK","31,579.20","0.08","0.08","24.02","4.45","0.81"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,722.35","-0.46","-0.46","29.45","2.98","0.66"
"NIFTY MIDSMALL IT & TELECOM","9,545.05","-1.55","-1.55","68.15","9.34","1.13"
"NIFTY CHEMICALS","28,342.85","-0.04","-0.04","39.19","4.18","0.61"
"NIFTY500 HEALTHCARE","17,930.70","-0.48","-0.48","37.37","5.42","0.54"
