Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
AILIMITED,SM,26.2,-4.9,15.78,0.04,0.01
NEXTMEDIA,EQ,5.3,-7.5,35.45,0.22,0.01
CALSOFT,EQ,14,-1.06,86.56,0.08,0.01
KARMAENG,EQ,38.69,-2.94,44.76,0.03,0.01
HEADSUP,EQ,8.23,-2.26,18.17,0.14,0.01
MADHUCON,EQ,4.99,-1.58,36.82,0.22,0.01
PURVFLEXI,SM,67,-2.9,140.58,0.02,0.01
AKI,EQ,6.11,-1.29,63.06,0.18,0.01
TOUCHWOOD,EQ,93.51,-1.67,103.62,0.01,0.01
619GS2034,GS,96.26,-1.98,122250.2,0.01,0.01
925SCL27,YR,1046,-0.49,11.15,0,0.01
ADDICTIVE,SM,104.45,-1.83,166.18,0.01,0.01
965AEL27,N4,1040,-0.52,493.3,0,0.01
930APMD32,N0,103900,-1.05,1038.99,0,0.01
ABHAPOWER,SM,31.85,-5.63,59.2,0.03,0.01
KONTOR,SM,55.8,-3.96,34.48,0.02,0.01
702GS2027,GS,101.8,-0.2,38684,0.01,0.01
ANSALAPI,BZ,3.05,-1.93,48.01,0.33,0.01
930APMD29,N0,101200,-1.84,1011.99,0,0.01
91D120226,TB,99.52,-0.07,12440,0.01,0.01
865IFL28,NZ,977,-0.1,86.87,0,0.01
CEDAAR,SM,47.3,-4.73,65.65,0.02,0.01
950ISF27A,N0,95520,-0.5,47.76,0,0.01
SLONE,SM,235,-3.69,123.82,0,0.01
883GS2041,GS,115.74,-0.22,104166,0.01,0.01
MOHITIND,EQ,24.12,-1.47,34.15,0.04,0.01
WILLAMAGOR,EQ,29,-1.79,31.77,0.03,0.01
SPPPOLY,SM,14.85,-1,22.86,0.06,0.01
QUICKTOUCH,SM,34.5,-4.96,44.22,0.03,0.01
OMKARCHEM,BZ,5.4,-3.05,11.11,0.16,0.01
769HUDCO31,N9,1103,-0.18,672.88,0,0.01
9IHFL27,N1,996,-0.65,44.02,0,0.01
