Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LIQUIDSHRI,EQ,1093.07,0.04,33.54,0.12,1.36
739NHAI31A,ND,1122,1.26,2111.74,0.12,1.35
USK,EQ,28.4,9.53,157.21,4.77,1.35
FMGOETZE,EQ,425,0.04,2364.37,0.31,1.34
MOENERGY,EQ,36.8,2.68,48.58,3.63,1.33
AHCL,EQ,120,1.66,637.82,1.08,1.32
NAVKARCORP,EQ,96.8,0.61,1457.03,1.37,1.31
STERTOOLS,EQ,235.1,3.11,850.69,0.56,1.31
SGBSEP29VI,GB,15320,1.17,5393.16,0.01,1.29
MASPTOP50,EQ,69.75,0.75,1176.15,1.85,1.29
PUSHPA,SM,89,1.42,215.58,1.46,1.29
SYNCOMF,EQ,13.2,0.69,1240.8,9.81,1.28
EIHAHOTELS,EQ,340,1.86,2071.83,0.37,1.27
ANANTAM,IV,103.3,0.77,2246.78,1.22,1.26
FOSECOIND,EQ,4710.5,2.38,3550.43,0.03,1.25
GCHOTELS,SM,122.95,2.93,306.38,1.01,1.25
DALMIASUG,EQ,285.9,0.37,2314.05,0.44,1.24
ALEMBICLTD,EQ,94.01,0.52,2414.01,1.3,1.22
IFBAGRO,EQ,940,0.49,880.51,0.13,1.22
DPABHUSHAN,EQ,1233.8,1.8,2816.51,0.1,1.22
BORANA,BE,389,3.28,1036.5,0.32,1.21
KHADIM,EQ,139,0.51,255.46,0.86,1.2
DLINKINDIA,EQ,413,0.29,1466.35,0.29,1.2
GROWWLIQID,EQ,107.96,0.05,82.43,1.11,1.2
FINIETF,EQ,32.4,0.62,281.12,3.68,1.2
MOVALUE,EQ,124.75,0.91,140.18,0.96,1.19
HEALTHIETF,EQ,149.36,0.28,147.44,0.8,1.19
BOSCH-HCIL,EQ,1400,0.6,3806.72,0.09,1.18
PRIZOR,SM,312.3,2.33,333.89,0.38,1.17
AKASH,EQ,26.76,2.65,45.12,4.08,1.17
RADIANTCMS,EQ,38.85,4.86,414.56,3.02,1.16
DHARAN,BZ,0.16,6.67,83.66,766.01,1.15
QGOLDHALF,EQ,127.64,0.38,702.02,0.9,1.14
PANACHE,EQ,341,0.99,519.27,0.33,1.14
KRISHCA,SM,175.95,0.8,254.07,0.67,1.14
CONSUMBEES,EQ,130.24,0.3,197.38,0.86,1.12
ALLDIGI,EQ,860,5.86,1310.5,0.13,1.12
SANOFICONR,EQ,4070,0.57,9373.46,0.03,1.08
BCLIND,EQ,28.94,0.45,854.2,3.71,1.07
SACHEEROME,ST,365,1.19,816.61,0.29,1.07
INFRAIETF,EQ,99.03,0.69,403.26,1.08,1.07
EVIETF,EQ,30.99,1.61,47.97,3.48,1.06
BAHETI,SM,603.45,0.58,625.69,0.18,1.06
VIJAYPD,ST,64.75,4.94,126.45,1.64,1.05
MIDSMALL,EQ,47.08,0.17,385.9,2.22,1.05
SOUTHWEST,BE,186.48,5,556.27,0.56,1.04
UNIDT,EQ,185,2.52,375.61,0.56,1.04
GICL,BE,50.85,2.11,569.29,2.09,1.04
SENSEXIETF,EQ,945,0.23,26921.23,0.11,1.03
BANKIETF,EQ,62.41,0.4,3164.75,1.62,1.01
AONEGOLD,EQ,14.35,0.28,82.71,6.97,1
RAMANEWS,EQ,31.19,1.99,460.12,3.19,0.99
COMSYN,EQ,191.89,2.16,766.64,0.52,0.99
AONELIQUID,EQ,1047.94,0.04,104.61,0.09,0.98
UNITEDTEA,EQ,535,6.58,267.32,0.19,0.98
IWARE,ST,274,4.32,293.62,0.36,0.97
WINDLAS,EQ,780.05,0.32,1644.13,0.12,0.96
ARIES,EQ,345,0.2,448.65,0.27,0.93
BMWVENTLTD,EQ,59,0.41,511.62,1.57,0.93
SCML,SM,132.95,0.04,153.02,0.7,0.93
