Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,249.9,5.61,35089.92,1136.05,2854.67
HDFCBANK,EQ,924.1,1.34,1422012.94,232.7,2143.55
ICICIBANK,EQ,1399,0.32,1001232.03,107.28,1502.89
DEEDEV,EQ,276.61,20,1915.89,561.5,1471.57
SBIN,EQ,1228.9,1.05,1134350.6,97.34,1193.03
KRN,EQ,925.1,5.23,5750.11,121.29,1114.03
RELIANCE,EQ,1425,0.39,1928377.35,77.59,1106.02
BAJFINANCE,EQ,1030.55,0.03,641222.83,94.52,981.27
LT,EQ,4419,0.88,607882.73,21.23,934.58
AXISBANK,EQ,1385.9,1.29,430554.6,61.6,856.5
CUMMINSIND,EQ,4880,3.09,135273.6,15.71,762.45
BHARTIARTL,EQ,1997,0.99,1138710.43,37.29,743.58
GOLDBEES,EQ,130.05,1.97,57853.99,563.14,732.48
BLS,EQ,278,3.58,11446.4,241.41,697.88
TATSILV,EQ,25.39,5.88,5764.42,2711.89,690.72
M&M,EQ,3435,0.65,427152.15,17.89,616.39
NTPC,EQ,375.45,0.67,364061.33,161.35,604.84
MOREPENLAB,EQ,45.11,14.99,2471.82,1193.11,539.52
ADANIPORTS,EQ,1554,2.81,358035.24,31.14,482.78
BHARATFORG,EQ,1834,3.03,87668.62,25.99,472.6
UNIONBANK,EQ,197.2,1.66,150534.7,237.01,469.5
HINDZINC,EQ,591.75,0.41,250033.25,78.63,468.34
KOTAKBANK,EQ,430.8,2.24,428487.62,104,446.18
TMPV,EQ,379.05,0.28,139588.17,117.02,443.73
MCX,EQ,2398,0.09,61147.04,16.36,394.58
INDIANB,EQ,985,4.05,132675.95,40.05,391.45
SILVERIETF,EQ,260.99,5.74,16819.75,142.12,372.53
PFC,EQ,412.25,0.52,136046.7,90.09,371.36
CANBK,EQ,156.34,1.42,141810.56,236.18,368.8
MARUTI,EQ,15050,0.49,473175.87,2.43,365.7
POWERGRID,EQ,302.7,1.25,281529.28,117.75,356.16
PNB,EQ,130.25,0.51,149695.59,270.95,355.95
HDFCSILVER,EQ,250.25,5.78,8321.59,141.43,355.89
NEULANDLAB,EQ,13507,6.88,17329.33,2.53,339.18
MUTHOOTFIN,EQ,3474,0.4,139470.15,9.46,330.13
BANKBARODA,EQ,313,1.28,161863.64,100.76,315.35
APOLLOHOSP,EQ,7698,1.08,110685.43,4,306.37
HINDUNILVR,EQ,2349,1.49,551918.99,13,304.07
CCL,EQ,1034.3,4.05,13810.79,28.66,300.28
POWERINDIA,EQ,24100,0.96,107419.39,1.23,297.88
BPCL,EQ,373.5,1.97,162040.47,77.6,288.84
ABCAPITAL,EQ,346.5,0.48,90717.88,83.11,288.17
BHEL,EQ,257.4,0.04,89628.31,111.6,287.88
WAAREEENER,EQ,2914.9,0.6,83844.45,9.78,284.96
COALINDIA,EQ,426,0.58,262532.23,65.16,275.38
SUNPHARMA,EQ,1732,0.44,415555.03,15.5,267.94
CIEINDIA,EQ,493.7,5.19,18729.12,52.87,267.35
RVNL,EQ,320.3,2.63,66783.19,82.68,261.25
POLYCAB,EQ,7992,1.56,120319.1,3.28,260.66
AMBER,EQ,7750,1.3,27258.33,3.33,259.85
TMCV,EQ,479.85,1.47,176696.67,53.99,259.6
GODREJPROP,EQ,1835,0.51,55271.36,14.2,258.64
SHRIRAMFIN,EQ,1064,0.44,200194.59,24.24,258.45
HDFCAMC,EQ,2734,0.67,117058.4,9.24,252.39
APARINDS,EQ,10653.5,1.28,42793.31,2.31,248.63
SIEMENS,EQ,3301,2.96,117555.38,7.57,247.11
DATAPATTNS,EQ,3055.1,2.36,17103.66,8.06,245.42
ADANIENT,EQ,2186.7,1.2,282670.86,11.04,241.25
DRREDDY,EQ,1305.1,1.93,108926.51,18.5,240.63
TVSMOTOR,EQ,3826.6,0.27,181796.84,6.06,233.18
PAYTM,EQ,1172,1.62,74987.89,19.76,231.26
KWIL,BE,27.81,0.29,6534.21,854.55,230.39
TDPOWERSYS,EQ,906.1,2.67,14154.63,25.12,229.45
KITEX,EQ,195.8,5.27,3906.21,114.6,228.54
ICICIGI,EQ,1949.1,0.67,97103.78,11.33,221.2
TITAN,EQ,4271,0.82,379173.47,5.16,220.27
KEI,EQ,4762,0.13,45525,4.48,213.78
SBILIFE,EQ,2108,1.35,211396.53,9.99,210.94
LIQUIDCASE,EQ,112.87,0.03,8662.54,185.76,209.65
ENGINERSIN,EQ,216.5,0.74,12168.22,95.55,209.01
HDFCLIFE,EQ,743,1.97,160310.86,27.23,202.16
IOC,EQ,176.5,1.56,249239.86,114.22,201.08
EICHERMOT,EQ,8044,1.35,220658.35,2.47,198.39
FEDERALBNK,EQ,296.45,1.32,72987.28,65.61,193.18
STLTECH,EQ,168.7,5.48,8234.32,115.31,192.39
RNBDENIMS,BE,196.8,1.9,1770.68,94.79,186.05
GVT&D,EQ,3698.7,1.37,94703.93,5,185.71
NITINSPIN,EQ,384.55,0.35,2161.94,47.65,185.58
TATAGOLD,EQ,15.22,1.87,5886.84,1215.05,185.05
OLECTRA,EQ,1039,2.41,8528.19,17.71,183.57
ASHOKLEY,EQ,210.3,0.69,123527.16,85.34,179.69
SOLARINDS,EQ,13365,0.52,120939.96,1.34,179.68
COHANCE,EQ,315.1,3.18,12054.69,55.73,178.33
GVPIL,BE,498,2.74,3347.93,34.95,175.62
ULTRACEMCO,EQ,12970,1.6,382198.88,1.34,173.29
MOSCHIP,EQ,202.1,5.36,3903.8,83.27,170.7
GRASIM,EQ,2873.4,1.43,195541.3,5.94,170.19
HEROMOTOCO,EQ,5498,0.6,110009.36,3.1,170.14
LUPIN,EQ,2247,1.24,102697.61,7.45,166.86
IDBI,EQ,113.64,0.72,122190.3,145.6,166.04
SILVER,EQ,260.3,5.67,3567.93,61.92,161.94
BANKINDIA,EQ,174,1.34,79216.42,92.88,161.11
SCI,EQ,259.44,1.76,12084.69,61,160.18
SBISILVER,EQ,255.59,5.6,6630.29,62.32,160.16
BAJAJHLDNG,EQ,11495,2.74,127931.89,1.37,156.81
INDIGO,EQ,4855,0.01,187700.51,3.21,155.78
ASIANPAINT,EQ,2433.8,0.23,233449.56,6.34,154.24
JSL,EQ,799,4.95,65871.13,19.52,153.85
MAHABANK,EQ,69.7,1.32,53610.04,218.33,153.03
PFOCUS,EQ,264,1.84,20486.15,57.14,150.79
LIQUID1,EQ,1092.48,0.01,1602.64,13.19,144.11
BAJAJ-AUTO,EQ,9884.5,0.79,276269.64,1.45,143.8
TFCILTD,EQ,78.93,8.18,3654.28,176.55,138.66
BIOCON,EQ,387.75,0.99,62850.7,35.73,138.2
KALYANKJIL,EQ,401.9,0.17,41502.71,34.2,137.65
BRITANNIA,EQ,6106,0.12,147074.18,2.25,137.26
NIFTYBEES,EQ,290.4,0.4,58399.92,47,136.46
MOTHERSON,EQ,129.7,0.22,136885.56,102.19,133.07
GOLDIETF,EQ,134.79,1.99,25671.55,97.92,131.89
MFSL,EQ,1865,0.85,64363.9,7.01,131.63
ADANIPOWER,EQ,143.75,0.74,277217.49,90.99,131.01
ITCHOTELS,EQ,181,2.45,37700.18,71.46,130.39
NAVINFLUOR,EQ,6653,1.95,34084.63,1.95,128.86
TORNTPHARM,EQ,4321.2,1.87,146244.9,2.99,128.35
BLUEJET,EQ,391.4,9.99,6789.44,33.51,128.23
CGPOWER,EQ,720.6,1.19,113487.48,17.83,128.22
ADANIENSOL,EQ,1001.9,0.38,120356.51,12.67,127.1
QPOWER,EQ,890,0.85,6892.52,14.03,126.53
AEGISVOPAK,EQ,230,9.12,25483.8,54.92,125.99
EDELWEISS,EQ,123.35,1.86,11674.81,100.02,124.62
TRIDENT,EQ,26.5,3.8,13504.28,465.05,124.26
CHOLAFIN,EQ,1693.9,1.46,144267.68,7.32,123.86
HINDPETRO,EQ,438.45,1.75,93294.38,28.26,123.75
TATAPOWER,EQ,378.3,0.08,120879.7,32.29,122.34
NESTLEIND,EQ,1314,1.56,253380.5,9.34,122.32
SAMMAANCAP,EQ,155,0.62,12844.33,78.58,120.65
CDSL,EQ,1335.4,1.14,27909.86,9.01,119.95
APEX,EQ,440,0.56,1375,26.91,119.64
HIRECT,EQ,1418,8.38,2436.66,8.09,116.25
ADANIGREEN,EQ,970.3,0.21,159264.45,11.89,115.8
MARICO,EQ,801.15,1.64,103998.78,14.45,115.26
UNITDSPR,EQ,1415.7,2.64,102971.06,7.85,110.5
MRPL,EQ,192.31,0.55,33704.23,56.71,109.66
SKFINDIA,EQ,1781.5,4.33,8807.37,5.87,105.44
HDFCGOLD,EQ,134.14,1.88,22893.71,78.59,105.43
VBL,EQ,456.5,0.58,154392.61,22.99,104.9
