"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,770.55","3.10","3.10","31.65","4.59","1.18"
"NIFTY FINANCIAL SERVICES 25/50","28,860.55","2.07","2.07","16.77","2.91","0.96"
"NIFTY FMCG","49,603.55","0.84","0.84","35.78","8.88","1.66"
"NIFTY IT","30,024.00","-0.46","-0.46","21.33","5.57","3.53"
"NIFTY MEDIA","1,351.75","1.51","1.51","28.37","1.42","1.34"
"NIFTY METAL","11,868.50","1.54","1.54","20.13","3.09","1.55"
"NIFTY PHARMA","23,253.65","1.39","1.39","34.80","5.07","0.68"
"NIFTY PSU BANK","9,013.80","2.21","2.21","8.94","1.47","2.13"
"NIFTY PRIVATE BANK","27,134.30","1.79","1.79","19.00","2.14","0.57"
"NIFTY REALTY","744.15","1.55","1.55","33.52","3.60","0.40"
"NIFTY HEALTHCARE INDEX","14,938.90","1.13","1.13","37.94","5.60","0.57"
"NIFTY CONSUMER DURABLES","36,443.25","2.67","2.67","57.99","11.42","0.40"
"NIFTY OIL & GAS","11,462.50","-0.39","-0.39","9.69","1.56","2.26"
"NIFTY MIDSMALL HEALTHCARE","43,631.45","1.61","1.61","40.86","5.32","0.44"
"NIFTY FINANCIAL SERVICES EX-BANK","30,310.85","2.23","2.23","22.73","4.27","0.80"
"NIFTY MIDSMALL FINANCIAL SERVICES","19,904.45","2.00","2.00","27.71","2.86","0.66"
"NIFTY MIDSMALL IT & TELECOM","8,251.80","0.68","0.68","58.67","8.07","1.32"
"NIFTY CHEMICALS","27,296.60","1.58","1.58","38.51","4.03","0.63"
"NIFTY500 HEALTHCARE","18,824.50","1.13","1.13","38.86","5.69","0.54"
