"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,366.80","1.86","1.86","32.35","4.69","1.16"
"NIFTY FINANCIAL SERVICES 25/50","29,543.40","0.87","0.87","17.17","2.98","0.94"
"NIFTY FMCG","50,000.80","0.41","0.41","36.06","8.95","1.64"
"NIFTY IT","30,126.80","-0.59","-0.59","21.41","5.59","3.52"
"NIFTY MEDIA","1,362.45","1.07","1.07","28.60","1.43","1.33"
"NIFTY METAL","12,049.20","2.29","2.29","20.44","3.14","1.53"
"NIFTY PHARMA","23,005.50","1.47","1.47","34.43","5.01","0.68"
"NIFTY PSU BANK","9,372.60","0.49","0.49","9.30","1.53","2.05"
"NIFTY PRIVATE BANK","28,054.05","0.45","0.45","19.64","2.21","0.56"
"NIFTY REALTY","757.80","1.83","1.83","34.13","3.67","0.39"
"NIFTY HEALTHCARE INDEX","14,853.35","1.39","1.39","37.72","5.57","0.57"
"NIFTY CONSUMER DURABLES","36,752.40","2.10","2.10","58.48","11.52","0.40"
"NIFTY OIL & GAS","11,812.25","1.56","1.56","9.98","1.61","2.19"
"NIFTY MIDSMALL HEALTHCARE","43,416.05","1.30","1.30","40.66","5.30","0.44"
"NIFTY FINANCIAL SERVICES EX-BANK","30,518.90","1.71","1.71","22.90","4.30","0.79"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,144.75","1.52","1.52","28.05","2.90","0.66"
"NIFTY MIDSMALL IT & TELECOM","8,267.85","-0.08","-0.08","58.78","8.09","1.31"
"NIFTY CHEMICALS","27,406.25","1.21","1.21","38.67","4.04","0.63"
"NIFTY500 HEALTHCARE","18,750.80","1.27","1.27","38.71","5.67","0.54"
