"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"KIOCL","KIOCL Limited",13932008,188046,74.08803488495764,170735,81.5997963893181,348.9,13.46,4973308895
"NEXTMEDIA","Next Mediaworks Limited",280581,4573,61.35600262409797,6247,44.91451896910517,4.1,-19.92,1192469
"INOXGREEN","Inox Green Energy Services Limited",69053350,1223210,56.45254074523004,1156719,59.69759688649165,148.88,6.13,10873831024
"JAICORPLTD","Jai Corp Limited",19631526,457807,42.88166410736402,522944,37.540345998673246,100.5,1.96,2093113302
"RIIL","Reliance Industrial Infrastructure Limited",3050314,76910,39.660652448088904,72431,42.11284830517941,693.1,8.87,2194273879
"DEEPINDS","Deep Industries Limited",10866019,293636,37.0050220851416,338417,32.10832046371978,400.05,9.38,4522763088
"FIRSTCRY","Brainbees Solutions Limited",70444931,2162839,32.57058226320573,1677149,42.002765785330176,252.07,20,16984272864
"JSWHL","JSW Holdings Limited",64886,2692,24.10326894502229,2416,26.852746425884124,14650,-8.3,986344414
"SVLL","Shree Vasu Logistics Limited",2399,103,23.104333868378813,240,9.988266464799395,525,-3.31,1277947
"SHRIPISTON","Shriram Pistons & Rings Limited",932879,59415,15.70106875368173,63957,14.585868506897311,3213,9.17,2906030030
"GREENLAM","Greenlam Industries Limited",875002,56388,15.517429728371708,35273,24.805926605551875,215,1.07,187714179
"SUNDRMFAST","Sundram Fasteners Limited",1429028,96668,14.78271693910309,84068,16.998477423038494,815,-0.02,1162814373
"SHIVAUM","Shiv Aum Steels Limited",3905,265,14.691497366440933,154,25.284172661870503,366.55,9.99,1405409
"GVPTECH","GVP Infotech Limited",1451646,101624,14.28445661711043,85917,16.89576815029177,6.63,0.76,10930894
"SHAHALLOYS","Shah Alloys Limited",79488,5635,14.104453776542261,11264,7.056761228360437,60.9,4.73,4812998
"ROSSELLIND","Rossell India Limited",355416,27069,13.129596906765833,27414,12.964633551865816,46.31,1.25,16679672
"GMDCLTD","Gujarat Mineral Development Corporation Limited",32107235,2476906,12.962635044964355,2194533,14.630552231294399,580,8.58,18578851532
"TEGA","Tega Industries Limited",1246070,97067,12.837105323253326,96364,12.930756509589976,1739,6.11,2144137570
"BODALCHEM","Bodal Chemicals Limited",4435224,357462,12.407539822414691,307647,14.416562503878401,55,11.95,245578352
"PALASHSECU","Palash Securities Limited",22756,1851,12.290575209289765,1470,15.473573592136985,87.76,1.98,2000024
"GUJAPOLLO","Gujarat Apollo Industries Limited",213360,19370,11.014971605575633,22433,9.510757023775271,444.6,8.15,93827193
"FINKURVE","Finkurve Financial Services Limited",1587499,154376,10.283283311381254,120291,13.19708541665407,55.1,-16.01,101901560
"DBEIL","Deepak Builders & Engineers India Limited",624921,62620,9.97952209346272,155916,4.008045674757431,71.79,6.88,46237904
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited",39440,4226,9.330862347699224,4169,9.458858413639733,510,-0.17,20155812
"CENTUM","Centum Electronics Limited",362983,38908,9.329263904595456,49118,7.3899242094742785,2973.6,9.09,1088586017
