Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ZFSTEERING,EQ,714.95,0.99,648.7,0.05,0.38
KRITINUT,BE,98.99,4.08,495.97,0.39,0.38
LIQUIDSHRI,EQ,1105.86,0.01,39.41,0.03,0.37
FILATFASH,BE,0.24,4.35,200.02,161.92,0.37
VALIANTLAB,BE,79,1.41,429.07,0.46,0.37
MILTON,SM,42.6,4.67,72.4,0.86,0.37
TANKUP,SM,702.45,5,371.95,0.05,0.36
FOODSIN,EQ,56,1.27,411.78,0.65,0.36
PANACHE,EQ,356.95,2.53,571.62,0.1,0.36
NDLVENTURE,EQ,132.9,2.36,447.5,0.27,0.36
SHYAMDHANI,SM,71.9,9.19,148.52,0.52,0.36
GROWWNIFTY,EQ,9.64,0.1,32.35,3.69,0.36
UFO,EQ,73.8,0.31,286.45,0.48,0.35
BSE500IETF,EQ,38.65,0.29,354.9,0.91,0.35
AARTECH,EQ,44.55,3.94,141.54,0.77,0.34
ALLETEC,SM,167.1,2.58,337.44,0.2,0.33
ALANKIT,EQ,9.22,0.99,250.01,3.53,0.33
NOVAAGRI,EQ,29,1.19,268.31,1.15,0.33
RUCHIRA,EQ,126.58,0.48,377.78,0.26,0.33
ANZEN,IV,131,0.77,4402.42,0.25,0.33
LATTEYS,BE,25,4.6,143.74,1.32,0.33
ATLANTAA,EQ,43,0.28,350.45,0.76,0.33
UCAL,EQ,96,4.61,212.29,0.34,0.33
BROOKS,BE,59.23,5,174.48,0.55,0.33
INTLCONV,EQ,78.75,1.04,502.28,0.41,0.33
SOFTTECH,BE,430.5,4.19,595.9,0.08,0.32
HILTON,BE,22.5,1.26,115.8,1.46,0.32
GUJAPOLLO,EQ,393,0.1,509.72,0.08,0.32
EBBETF0431,EQ,1392,0.06,13017.42,0.02,0.32
GRPLTD,EQ,1704,0.1,908.8,0.02,0.32
JAYBEE,ST,97,1.73,218.91,0.34,0.31
SARVESHWAR,BE,3.74,0.27,460.63,8.42,0.31
PTL,EQ,39.1,2.89,517.59,0.78,0.3
ZENITHDRUG,SM,46.5,16.25,79.74,0.67,0.3
CHANDAN,SM,235,0.45,574.62,0.13,0.3
DIVOPPBEES,EQ,78.75,0.47,71.96,0.38,0.3
MCL,BE,61.4,1.35,166.66,0.49,0.3
TNIDETF,EQ,81.75,0.41,166.82,0.36,0.3
SENSEXBETA,EQ,844.8,0.41,54220.71,0.04,0.3
ORIENTCER,EQ,41.7,2.73,498.9,0.71,0.29
GOACARBON,EQ,403,0.26,368.79,0.07,0.29
OSWALAGRO,BE,48,4.6,644.33,0.6,0.29
CHEMBOND,BE,175.51,3.12,236.03,0.17,0.29
IGCL,EQ,63,0.67,398.31,0.46,0.29
NINSYS,BE,678,3.42,1259.45,0.04,0.29
SETF10GILT,EQ,258.89,0.5,3231.31,0.11,0.29
SGIL,EQ,525,1.97,816.01,0.05,0.29
VIRINCHI,EQ,17.6,4.95,191.48,1.61,0.28
APCL,EQ,122,0.12,358.37,0.23,0.28
HINDCOMPOS,EQ,409.15,4.28,604.27,0.07,0.28
GSLSU,EQ,54.89,1.57,232.63,0.51,0.28
MONQ50,EQ,138.63,1.14,203.44,0.2,0.28
VERTIS,IV,110,0.92,16609.82,0.25,0.28
JHS,EQ,9.08,4.97,77.73,3.07,0.27
MONEYBOXX,EQ,73.31,0.59,511.77,0.36,0.27
LANCORHOL,EQ,24.45,1.24,179.83,1.08,0.27
EXCELLENT,ST,154.95,1.27,69.26,0.18,0.27
RAPPID,SM,271,2.3,140.7,0.1,0.26
ANUHPHR,EQ,76.5,0.28,766.71,0.34,0.26
SAKHTISUG,EQ,18.25,1.61,216.9,1.42,0.26
CENTRUM,EQ,22.98,0.35,1118.73,1.13,0.26
MID150,EQ,23.2,0.83,12.36,1.12,0.26
COMMITTED,ST,278,4.97,321.77,0.1,0.26
ONELIFECAP,BE,27.66,4.97,103.34,0.94,0.25
RPPINFRA,EQ,73,0.72,361.98,0.34,0.25
NIPPOBATRY,EQ,365,0.45,273.75,0.07,0.25
SBIMIDMOM,EQ,63.8,0.58,8.79,0.39,0.25
LINC,EQ,101.9,0.84,606.19,0.25,0.25
935TSI29,N0,103837,0.23,1297.35,0,0.25
DONEAR,EQ,92.25,2,479.7,0.27,0.25
735NHAI31,N9,1294,18.17,7741.45,0.02,0.24
VLSFINANCE,EQ,242.4,2.49,760.62,0.1,0.24
MOM50,EQ,252.99,1.32,57.55,0.1,0.24
ELGIRUBCO,EQ,51.12,1.67,255.86,0.47,0.24
SMARTLINK,BE,159.92,5,159.52,0.15,0.24
DBSTOCKBRO,EQ,32.95,4.57,115.33,0.73,0.24
SBIETFQLTY,EQ,220.6,0.19,79.33,0.11,0.24
BELLACASA,EQ,257.8,2.83,345.13,0.09,0.23
BRIGHOTEL,EQ,62.01,0.52,2355.4,0.38,0.23
TVTODAY,EQ,111.48,1.36,665.19,0.21,0.23
STARTECK,EQ,254.51,1.81,252.23,0.09,0.23
CENTEXT,EQ,20.76,0.68,166.08,1.1,0.23
TRIGYN,EQ,61.1,3.16,188.1,0.38,0.23
PSUBANKADD,EQ,83.9,0.47,157.08,0.28,0.23
ORBTEXP,EQ,169,3.13,448.04,0.14,0.23
AKCAPIT,EQ,1667,0.96,1100.22,0.01,0.23
GATECH,EQ,0.53,1.92,58.45,43.83,0.23
10NIDO26,N6,1084,0.46,378.54,0.02,0.23
SUDARCOLOR,EQ,378.5,0.73,873.65,0.06,0.23
CONSUMIETF,EQ,118.76,0.98,57.33,0.19,0.23
AFFORDABLE,BE,174.75,2.01,196.53,0.13,0.22
IL&FSENGG,BZ,30.36,4.98,398.08,0.75,0.22
BHADORA,SM,71.75,0.77,133.46,0.31,0.22
GINNIFILA,EQ,45.15,0.33,386.71,0.49,0.22
DENORA,EQ,720.9,0.95,382.7,0.03,0.22
HPTL,SM,279.6,4.99,333.14,0.08,0.22
771GS2066,GS,101.5,1.34,11144.2,0.21,0.22
SETCO,BE,26.98,1.97,360.9,0.81,0.22
SATKARTAR,ST,184.2,4.07,290.02,0.12,0.22
TOP15IETF,EQ,9.78,0.1,13.27,2.22,0.22
HDFCNIFIT,EQ,30.98,0.06,119.42,0.69,0.21
HDFCPVTBAN,EQ,27.29,0.04,745.02,0.78,0.21
PVSL,EQ,107.2,1.67,763.24,0.2,0.21
SATTVAENGG,SM,65.5,2.83,114.42,0.32,0.21
GROWWCHEM,EQ,29.81,0.44,11.34,0.71,0.21
URAVIDEF,EQ,118.4,0.41,134.98,0.18,0.21
SADHNANIQ,BE,2.4,1.69,711.53,8.66,0.21
HDFCMOMENT,EQ,31.11,0.35,129.15,0.67,0.21
HILINFRA,BE,49.3,1.44,353.58,0.42,0.21
EIFFL,EQ,239.99,0.05,595.18,0.09,0.21
INVPRECQ,EQ,638,1.72,638,0.03,0.2
EMULTIMQ,EQ,43.14,0.19,34.59,0.47,0.2
ESCONET,ST,131,2.34,172.87,0.16,0.2
SAKUMA,BE,1.84,4.55,288.46,11.05,0.2
ALPA,EQ,70.35,3.46,148.02,0.29,0.2
SPENCERS,EQ,37.9,1.2,341.6,0.54,0.2
AONETOTAL,EQ,11.65,0.26,42.57,1.72,0.2
SPECTSTM,ST,60.6,4.94,139.94,0.33,0.2
INTERNET,EQ,12.3,0.82,28.16,1.62,0.2
JAYSREETEA,EQ,84.7,0.15,244.59,0.23,0.2
MATRIMONY,EQ,419,0.43,866.22,0.05,0.2
XELPMOC,EQ,102.7,0.85,151.58,0.19,0.2
SURANAT&P,EQ,18.27,1.39,248.03,1.07,0.19
182D081026,TB,97.33,0.34,5839.8,0.2,0.19
CURRENT,SM,122.9,4.86,235.33,0.16,0.19
SAHAJSOLAR,SM,150.9,2.37,331.56,0.13,0.19
PAVNAIND,BE,19.2,2.13,267.9,1.03,0.19
901NHB34,N6,6240,0.23,830.81,0,0.19
364D150427,TB,94.73,0.46,5683.8,0.2,0.19
VERTOZ,EQ,47.69,0.68,406.46,0.4,0.19
SINCLAIR,EQ,75.35,1.22,386.24,0.24,0.18
HECPROJECT,EQ,131,0.33,141.98,0.14,0.18
PRAXIS,BE,7.1,0.42,131.93,2.56,0.18
BBTCL,EQ,192.6,0.05,395.05,0.09,0.18
DIVINEHIRA,ST,326,1.72,425.34,0.06,0.18
NAHARINDUS,EQ,114,1.42,492.54,0.16,0.18
SBISMLETF,EQ,17.15,1,6.47,1.05,0.18
VISHWARAJ,EQ,5.71,4.96,124.38,3.17,0.18
TGL,ST,22.4,4.92,26.88,0.8,0.18
GROWWSC250,EQ,9.77,0.1,15.86,1.8,0.18
ARCHIDPLY,EQ,83.44,2.58,165.75,0.21,0.17
364D080427,TB,94.75,0.26,5685,0.18,0.17
SRTL,EQ,44.25,2.64,176.89,0.4,0.17
HLVLTD,EQ,8,0.38,527.41,2.15,0.17
ANANTAM,IV,105,0.02,2283.75,0.16,0.17
DYNPRO,EQ,234.02,0.93,290.85,0.07,0.17
NECLIFE,BE,12.4,2.06,240.88,1.37,0.17
DBEIL,EQ,79.15,3.15,368.69,0.22,0.17
ASHIMASYN,EQ,16.4,3.54,314.32,1.04,0.17
VALUE,EQ,16.83,0.3,12.26,0.99,0.17
WIMPLAST,EQ,348,0.35,417.72,0.05,0.17
PPAP,EQ,214,0.95,302.06,0.08,0.17
SBIETFPB,EQ,275.9,0.75,412.05,0.06,0.16
SAAKSHI,SM,231.3,0.57,408.38,0.07,0.16
MARALOVER,BE,56.51,0.66,234.56,0.29,0.16
SADBHAV,BE,9.64,4.9,165.39,1.68,0.16
UNIVASTU,EQ,72.8,0.86,261.98,0.22,0.16
KSHITIJPOL,BE,4.31,4.87,66.48,3.75,0.16
HDFCGROWTH,EQ,114.7,0.68,20.92,0.14,0.16
891IIFCL34,N4,1249.99,0.75,744.87,0.01,0.16
901HUDCO34,NE,1310,2.63,879.21,0.01,0.16
JMA,EQ,89.8,2.71,205.11,0.18,0.16
ZENITHSTL,EQ,6.25,4.87,88.93,2.54,0.16
GENUSPAPER,EQ,12.9,0.94,331.69,1.23,0.16
SANGINITA,BE,27.51,1.96,71.26,0.57,0.16
SAHLIBHFI,EQ,72.15,1.98,222.86,0.22,0.16
CPCAP,BE,93.01,0.5,169.21,0.17,0.16
SHALPAINTS,EQ,51.76,1.87,433.29,0.3,0.15
ACSTECH,EQ,34.44,0.12,208.99,0.44,0.15
VISACHROME,BE,53,2.87,685.23,0.28,0.15
SURANASOL,EQ,27.08,0.3,133.25,0.55,0.15
NAHARCAP,EQ,259.8,1.35,435.07,0.06,0.15
NURECA,EQ,275.25,0.7,262.64,0.05,0.15
WELINV,EQ,1929.4,2.62,705.09,0.01,0.14
BONLON,EQ,48.33,5,68.55,0.3,0.14
OMFREIGHT,EQ,87.99,1.18,296.31,0.16,0.14
PVTBKGROWW,EQ,27.2,3.07,5.73,0.52,0.14
875NHAI29,N6,1101.05,0.28,1310.04,0.01,0.14
SGBMAR31IV,GB,15849.99,0.02,5597.56,0,0.14
UYFINCORP,EQ,15,2.11,285.36,0.94,0.14
DUGLOBAL,ST,35.95,0.98,258.63,0.4,0.14
ALPHAGEO,EQ,230,3.14,146.39,0.06,0.14
AIRAN,EQ,17.05,5.31,213.16,0.81,0.14
XTGLOBAL,EQ,32.97,0.98,442.21,0.42,0.14
POSITRON,ST,207.25,4.99,157.52,0.07,0.14
AURIGROW,EQ,0.32,3.23,47.24,43.49,0.13
SBIETFIT,EQ,324.9,1.41,69.4,0.04,0.13
DTL,SM,135,3.85,111.52,0.1,0.13
GEEKAYWIRE,EQ,24.67,1.82,257.85,0.53,0.13
VHLTD,BE,139.7,0.05,944.08,0.09,0.13
DIAMINESQ,EQ,252,2.11,246.56,0.05,0.13
INDOUS,EQ,101,0.39,202.53,0.13,0.13
JETFREIGHT,EQ,20.7,1.87,96.06,0.64,0.13
FIDEL,SM,168,7.87,231.01,0.08,0.13
QMSMEDI,SM,84.5,1.2,163.4,0.15,0.13
AJOONI,EQ,4.26,0.95,73.38,2.96,0.13
ESPRIT,SM,71.5,2.14,156.91,0.18,0.13
NEWJAISA,ST,23,1.77,82.28,0.54,0.12
ARIHANT,EQ,914,7.32,910.86,0.01,0.12
MULTICAP,EQ,16.24,0.06,84.92,0.75,0.12
NAVKARURB,EQ,0.89,4.71,99.87,13.75,0.12
TEXMOPIPES,EQ,45,0.45,131.38,0.27,0.12
1075SCL33A,N2,854,0.47,7.04,0.01,0.12
AONETMMQ50,EQ,10.39,0.48,7.34,1.14,0.12
MAJESAUT,EQ,338.9,0.27,352.37,0.03,0.12
SOMICONVEY,EQ,105.9,1.01,124.75,0.11,0.12
KREBSBIO,EQ,64.9,5,139.93,0.18,0.12
MOTOUR,EQ,74.14,1.13,28.17,0.16,0.12
NILAINFRA,EQ,8.19,0.49,322.6,1.42,0.12
KCPSUGIND,EQ,24.69,0.94,279.95,0.47,0.12
SGBMAR30X,GB,15975,0.21,2459.66,0,0.11
GOYALSALT,SM,116,1.4,207.64,0.1,0.11
GREENCHEF,SM,60.65,4.93,141.14,0.18,0.11
ADVANIHOTR,EQ,53.32,0.02,492.88,0.21,0.11
SINTERCOM,EQ,79.95,1,220.08,0.14,0.11
MIDCAPBETA,EQ,229.79,0.39,13.83,0.05,0.11
NEXT50ETF,EQ,71.42,0.14,15.79,0.15,0.11
364D160726,TB,99.31,0.31,6274.4,0.11,0.11
FOCE,SM,565,0.53,663.48,0.02,0.11
URBAN,SM,136.25,1.26,117.99,0.08,0.11
