Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
COALINDIA,EQ,463.6,1.19,285704.09,1170.43,5274.64
ATGL,EQ,813.2,14.04,89436.56,573.25,4453.05
JPPOWER,EQ,22.95,19.97,15728.69,12855.71,2843.68
ADANIPOWER,EQ,249.43,2,481018.14,858.6,2136.36
APOLLO,EQ,417,1.19,14899.09,445.13,1881.51
BHARTIARTL,EQ,1847.4,0.03,1125671.63,86.53,1604.55
HFCL,EQ,173.2,7.05,26510.03,799.62,1367.26
SUZLON,EQ,57.75,5.81,79206.93,2277.45,1281.98
PINELABS,EQ,146.5,6.21,16822.25,867.28,1222.44
ADANIENSOL,EQ,1546,5.65,185718.3,78.42,1197.62
ADANIENT,EQ,2972.8,0.12,384054.01,38.27,1139.88
ZEEL,EQ,90.84,9.74,8725.36,1222.29,1111.43
POWERINDIA,EQ,37430,3.99,166834.35,2.85,1054.77
CUMMINSIND,EQ,6069,12.01,168232.68,17.22,1005.63
ADANIGREEN,EQ,1490.2,2.25,244600.51,65.1,972.98
VEDL,EQ,354.95,2.91,138799.22,269.59,952.77
AXISBANK,EQ,1304.5,0.4,405647.96,72.43,943.97
ETERNAL,EQ,255.71,2.21,246769.12,366.62,937.07
EXIDEIND,EQ,394.6,7.74,33541,240.44,934.91
GRANULES,EQ,787,4.03,19501.62,119.96,930.22
HINDALCO,EQ,1150.5,4.23,258543.41,75.59,866.19
CGPOWER,EQ,937,6.58,147573.49,92.58,851.97
TATASTEEL,EQ,214.51,1.92,267784.14,391.1,841.8
IDEA,EQ,14.2,0.42,153847.11,5805.75,823.84
MTARTECH,EQ,7882.5,0.06,24246.25,9.65,758.41
ASTRAMICRO,EQ,1388,2.28,13178.37,52.33,731.73
SAIL,EQ,206,1.06,85088.82,353.34,727.45
SWIGGY,EQ,271.55,6.95,74956.31,270.67,723.15
ENRIN,EQ,3802,9.8,135397.02,19.61,723.12
MOTHERSON,EQ,143,5.29,150922.4,500.83,698.6
GVT&D,EQ,5098,5.15,130532.52,13.39,677.58
NATIONALUM,EQ,433.5,4.16,79617.99,155.19,670.27
SIEMENS,EQ,3897.9,6,138812.21,17.39,658.55
JSWENERGY,EQ,604.9,5.02,110907.37,109.18,652.02
LT,EQ,4050,0.3,557170.32,16.07,650.65
TMPV,EQ,403.05,4.53,148430.56,162.95,642.96
NETWEB,EQ,4082.8,6,23247.74,15.8,631.2
REFEX,EQ,327.95,11.11,4500.11,193.8,628.44
INDIGO,EQ,4551,1.57,175967.14,13.69,620.46
FINPIPE,EQ,193.33,8.53,11995.68,318.07,618.37
WAAREEENER,EQ,3145,1.84,90466.34,19.78,614.49
TCS,EQ,2289.9,0.6,828505.86,26.54,604.16
IFCI,EQ,68.23,5.95,18383.31,888.64,600.45
SAMMAANCAP,EQ,173.12,3.23,20062.11,335.67,580.24
NTPC,EQ,397.85,2.09,385781.86,144.19,572.16
JKTYRE,EQ,414.35,5.12,11945.28,129.49,539.14
HSCL,EQ,607.5,0.18,30650.9,84.55,521.25
OLAELEC,EQ,39.35,4.71,17356.62,1339.88,516.25
AIAENG,EQ,4375,5.59,40827.66,11.5,504.91
BAJFINANCE,EQ,935,0.52,582094.94,53.5,497.64
