"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"EIHOTEL","EIH Limited",22370131,229635,97.41603414113702,343221,65.17692543222799,339.9,2.26,7975175402
"RML","Rane (Madras) Limited",549162,7820,70.22403682797172,7472,73.48972615238628,836,8.47,471213945
"LOYALTEX","Loyal Textile Mills Limited",37703,703,53.609790777980905,948,39.744417824628655,268.11,20,9970935
"WESTLIFE","WESTLIFE FOODWORLD LIMITED",10438052,252798,41.290042653996295,229531,45.475493347116355,550,15.39,5539891718
"SAKAR","Sakar Healthcare Limited",468258,12302,38.06179892705358,20481,22.86213049267643,434.65,6.06,206801463
"JSWCEMENT","JSW Cement Limited",45003838,1352401,33.27697145808204,2288697,19.66351555581118,123.2,6.08,5641231093
"MAHESHWARI","Maheshwari Logistics Limited",297360,10435,28.494065789653803,13863,21.44976195784752,52.8,20,15501376
"LFIC","Lakshmi Finance & Industrial Corporation Limited",115180,4264,27.01129016047439,3076,37.4403073286052,149,9.35,17839078
"SHREERAMA","Shree Rama Multi-Tech Limited",2497583,130176,19.186201757620452,153057,16.31798295110321,60,3.47,156973091
"IVALUE","Ivalue Infosolutions Limited",1853126,106290,17.434575394606682,129423,14.31832667559672,232.01,-7.46,418862069
"TOUCHWOOD","Touchwood Entertainment Limited",64587,4310,14.98538283062645,3628,17.801032296860516,91.11,-1.56,6295294
"ASTEC","Astec LifeSciences Limited",1306534,88249,14.805037677358781,91044,14.350534754819583,648,6.62,870269232
"UNICHEMLAB","Unichem Laboratories Limited",253135,18401,13.756162129010722,16396,15.438740941576983,423.25,1.39,108655667
"DEVYANI","Devyani International Limited",76225450,5724856,13.314823988585914,4790539,15.911663429509826,132.85,7.78,10104445652
"UEL","Ujaas Energy Limited",48412,3684,13.138476151706357,6805,7.11355354414012,157.32,10,7321830
"KILITCH","Kilitch Drugs (India) Limited",108439,9526,11.382452615163148,12103,8.959477526739574,369.85,7.13,40970422
"DNAMEDIA","Diligent Media Corporation Limited",507198,47820,10.60633562564602,93753,5.409912652915577,3.65,5.8,1947640
"NILKAMAL","Nilkamal Limited",42893,4069,10.540670528348253,3613,11.871552938808374,1500,5.29,62791062
"ICDSLTD","ICDS Limited",5865,563,10.412122749175754,567,10.343915343915343,43,6.15,252546
"NGLFINE","NGL Fine-Chem Limited",82610,7938,10.405967141134765,6237,13.243605625592071,2270,4.89,195190908
"FORCEMOT","FORCE MOTORS LTD",485378,46784,10.374871751025992,62046,7.822816042525322,21040,4.84,10360922472
"INDTERRAIN","Indian Terrain Fashions Limited",210217,20311,10.349763326510947,18319,11.474784015403014,36.4,2.54,7843196
"METROPOLIS","Metropolis Healthcare Limited",410118,40087,10.230515940045757,38535,10.64274036590113,1969,3.85,808650166
"AHLEAST","Asian Hotels (East) Limited",24247,2402,10.0933039961941,2478,9.783471498789524,142.1,4.47,3493022
"TCIEXP","TCI Express Limited",231344,23265,9.943742055914084,21785,10.619372715284848,577.5,1.33,133351308
