"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"CONCORDBIO","Concord Biotech Limited",11424384,82147,139.07103250846544,106892,106.87745701708431,1260,17.09,13877541976
"UNIVASTU","Univastu India Limited",918931,12426,73.94831008583691,41147,22.3327316512748,66.68,5.72,65473833
"LFIC","Lakshmi Finance & Industrial Corporation Limited",112433,2599,43.25732606604681,4434,25.355974249630965,146.99,14.33,16409596
"HEALTHY","Aditya Birla Sun Life MF-Aditya Birla Sun Life Nifty Healthcare ETF",8841565,211397,41.824326348603655,248545,35.57320550606766,15.3,1.73,134391788
"NIPPOBATRY","Indo-National Limited",117646,2887,40.740851898880294,2962,39.714776737762776,338.2,1.3,43117259
"JAIBALAJI","Jai Balaji Industries Limited",34310768,944963,36.30909982397906,1126993,30.4445017166746,69.2,13.72,2291616194
"USHAMART","Usha Martin Limited",9323469,286651,32.52550662652494,393503,23.693476091245547,425.75,4.85,4031281526
"TFL","Transwarranty Finance Limited",578122,17870,32.35123716436146,18625,31.039652866584017,14.11,8.71,8284488
"COMSYN","Commercial Syn Bags Limited",3135062,100687,31.136607716296655,81692,38.37635346721299,159,-16.57,535437238
"RGL","Renaissance Global Limited",16559322,831528,19.9143248104043,1004588,16.483687349853714,128.35,12.67,2079685249
"SALONA","Salona Cotspin Limited",6514,363,17.92022008253095,479,13.573404053798068,265,8.44,1687386
"STARHEALTH","Star Health and Allied Insurance Company Limited",3009791,181445,16.587820975038465,281086,10.707715977112164,468.1,2.73,1420500960
"ELECTHERM","Electrotherm (India) Limited",171299,10341,16.56369760358415,17679,9.688957105688047,730,1.73,128851107
"KAMDHENU","Kamdhenu Limited",13806034,838281,16.469445234199323,1479372,9.332360725769833,21.44,-0.51,298762575
"COSMOFIRST","COSMO FIRST LIMITED",917241,56507,16.23234289557046,166773,5.499922049944726,703,7.64,646865870
"JINDALPOLY","Jindal Poly Films Limited",6276304,403428,15.557407092207958,255546,24.560281407149585,637,15.25,3901601618
"SECMARK","SecMark Consultancy Limited",58857,3802,15.480536559705419,3153,18.664293127306273,122.04,20,7002805
"MANAKCOAT","Manaksia Coated Metals & Industries Limited",6806183,465541,14.619938014790671,281557,24.173351780519383,114.5,-3.03,779648262
"HALDER","Halder Venture Limited",3985,273,14.570383912248628,382,10.43193717277487,250,-0.54,980031
"SCHAEFFLER","Schaeffler India Limited",1238284,88457,13.998605736077144,68074,18.19026353673943,4250.9,4.07,5268180215
"CPPLUS","Aditya Infotech Limited",1429956,110974,12.885485360707072,237681,6.016266220130977,1578,7.02,2245645801
"ITADD","DSP Mutual Fund - DSP Nifty IT ETF",3782835,304320,12.430424267384623,218766,17.291666493519447,31.99,1.11,121958600
"HBSL","HB Stockholdings Limited",21172,1743,12.144550669216061,2393,8.846463572134011,58.33,-5,1244913
"LOWVOL1","Kotak Nifty 100 Low Volatility 30 ETF",821501,67963,12.087474066771625,79451,10.339683327917397,21.71,0.84,17834786
"WAAREEENER","Waaree Energies Limited",14831874,1281579,11.573120512617438,1043270,14.216711714404372,2705,-10.53,39737556820
