Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,817.5,5.89,1258407.86,702.7,5690.92
BSE,EQ,3168.1,7.36,129221.75,104.19,3287.17
ICICIBANK,EQ,1309.1,5.11,937412.71,251.49,3286.98
SBIN,EQ,1065,3.36,983060.77,285.34,3048.94
LT,EQ,4010,7.7,551628.51,73.68,2943.63
RELIANCE,EQ,1349.4,3.43,1826071.86,218.18,2930.14
INDIGO,EQ,4614,8.09,178383.24,55.39,2581.69
INFY,EQ,1346.9,0.56,546247.65,160.3,2154.56
BHARTIARTL,EQ,1861,1.68,1133926.62,115.88,2153.29
GALLANTT,EQ,666.25,3.75,16075.34,301.69,2076.81
SHRIRAMFIN,EQ,1025,10.14,192860.45,182.57,1856.6
AXISBANK,EQ,1333.4,6.66,414443.74,135.2,1784.68
ASHOKLEY,EQ,172.3,12.67,101206.51,1023.03,1738.74
TITAN,EQ,4485,6.01,398172.09,38.35,1706.06
ADANIGREEN,EQ,1035,11.85,169884.26,160.43,1634.96
TMCV,EQ,436.1,10.11,160586.47,347.83,1509.19
ETERNAL,EQ,244.4,5.36,235854.57,618.02,1508.64
MARUTI,EQ,13570,6.03,426644.29,10.26,1398.43
M&M,EQ,3212.5,6.85,399483.64,42.28,1354.53
BAJFINANCE,EQ,917,7.24,570570.41,138.26,1263.3
TCS,EQ,2561.1,0.84,926628.39,47.69,1219.58
VEDL,EQ,723.2,1.4,282799.26,163.94,1186.86
BLS,EQ,295.5,9.61,12166.94,391.98,1165.71
KOTAKBANK,EQ,379.5,4.56,377468.34,301.62,1136.03
ADANIPOWER,EQ,169.34,3.66,326567.02,663.18,1124.95
ADANIPORTS,EQ,1452,5.14,334534.86,76.36,1121.35
MCX,EQ,2598,2.21,66246.88,41.27,1074.92
GROWW,EQ,181.61,9,113934.79,581.59,1037.49
DIXON,EQ,10699,5.76,65051.95,9.79,1035.48
SILVERBEES,EQ,230.4,4.71,31651.14,445.4,1026.52
HINDPETRO,EQ,364.95,10.12,77654.88,259.75,936.26
BEL,EQ,434.15,1.48,317354.05,200.54,866.86
ATGL,EQ,557.5,7.3,61314.41,152.9,862.36
ADANIENT,EQ,2044.9,8.65,264127.29,41.98,852.72
DLF,EQ,572.75,7.24,141773.67,147.22,834.95
HINDUNILVR,EQ,2145,1.63,503987.33,37.94,818.61
FORCEMOT,EQ,22131,11.1,28843.14,3.8,817.33
OLAELEC,EQ,30.5,5.79,13453.03,2607.46,796.06
BPCL,EQ,298.75,7.68,129610.68,266.47,791.88
TATASTEEL,EQ,204.25,3.09,254976.04,370.18,757.14
GRSE,EQ,2490,8.01,28523.45,30.32,744.41
CHOLAHLDNG,EQ,1621.9,16.13,30455.63,45,728.39
NTPC,EQ,373,1.13,361685.65,194.91,724.2
ULTRACEMCO,EQ,11590,5.98,341533.16,6.13,713.23
TMPV,EQ,335.7,8.75,123625.74,209.3,694.04
GOLDBEES,EQ,124.24,2.02,55633.13,550.49,687.35
ITC,EQ,302.3,1.29,378842.88,223.1,676.11
ASIANPAINT,EQ,2288,4.66,219464.45,29.15,664.19
IOC,EQ,143.58,6.8,202752.74,458.08,653.9
EICHERMOT,EQ,7170,8.55,196683.28,9.17,646.58
KAYNES,EQ,3926.7,4.68,26322.5,16.58,642.53
CHOLAFIN,EQ,1555.1,9.9,132500.3,40.55,624.84
HCLTECH,EQ,1453.9,0.85,394539.77,42.39,614.8
PFC,EQ,418,2.6,137944.25,146.46,611.64
IDEA,EQ,9.24,7.07,100108.96,6408.95,583.21
SAIL,EQ,164.31,2.3,67868.66,349.41,576.84
CDSL,EQ,1291,7.27,26981.9,44.49,566.95
TVSMOTOR,EQ,3702,6.67,175877.25,15.33,566.29
TRENT,EQ,3909,2.25,138960.05,14.26,561.39
JUBLFOOD,EQ,435.5,5.41,28736.26,128.66,560.47
WAAREEENER,EQ,3128,1.43,89974.08,17.59,549.27
