Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SBIN,EQ,974.9,-4.36,899892.91,469.27,4601.65
HDFCBANK,EQ,766.25,-1.87,1179682.94,411.23,3163.21
BHARTIARTL,EQ,1764.9,-3.79,1075402.11,158.04,2797.81
TITAN,EQ,4200,-6.85,372870.19,59.25,2502.54
RELIANCE,EQ,1385.3,-3.48,1874662.59,152.62,2140.89
ABB,EQ,6348,-9.48,134519.44,24.19,1553.65
KALYANKJIL,EQ,385.9,-9.1,39853.44,317.77,1234.17
QUICKHEAL,EQ,213.3,-0.56,1157.1,430.04,983.29
HSCL,EQ,615,-3.55,31029.31,153.97,954.4
CANBK,EQ,130.14,-3.13,118045.46,715.93,949.54
AXISBANK,EQ,1267.9,-0.03,394185.62,73.41,934.06
INFY,EQ,1176,-0.27,476941.31,73.36,866.05
MARUTI,EQ,13496,-1.68,424317.71,6.34,859.04
ETERNAL,EQ,246.05,-4.03,237446.88,335.53,830.46
KOTAKBANK,EQ,380.45,-0.09,378413.26,213.48,814.59
LT,EQ,3940,-0.87,541999.08,20.28,795.71
INDIGO,EQ,4309,-4.73,166610.07,17.92,774.06
M&M,EQ,3246,-2.53,403649.46,23.21,755.95
GROWW,EQ,194.5,-4.93,122021.45,377.9,743.55
LUPIN,EQ,2243,-5.74,102553.52,32.79,742.38
BHEL,EQ,401.55,-0.75,139822.25,184.32,738.56
ADANIPOWER,EQ,222.77,-1.14,429605.14,305.56,676.6
DIXON,EQ,10781,-0.2,65550.52,6.06,654.16
SWIGGY,EQ,263.95,-5.9,72858.48,244.12,649.87
SAIL,EQ,180,-2.64,74349.46,331.97,603.18
ADANIENSOL,EQ,1344.8,-0.65,161548.49,45.36,602.84
CRAFTSMAN,EQ,8810,-1.91,21016.77,6.52,586.77
HAL,EQ,4750,-0.8,317668.13,12.19,581.4
SHRIRAMFIN,EQ,977,-3.05,229857.46,59.27,580.77
NETWEB,EQ,4304.5,-2.66,24510.12,12.99,569.14
KAYNES,EQ,4371.9,-3.01,29306.88,11.9,528.03
BAJFINANCE,EQ,935.5,-2.08,582406.22,55.81,527.29
MEESHO,EQ,194.11,-2.95,88776.88,248.54,481.62
ITC,EQ,305.7,-0.57,383103.95,149.69,459.09
JIOFIN,EQ,239.85,-3.81,158376.35,188.59,456.89
YESBANK,EQ,22.69,-1.09,71202.22,1912.12,436.73
GRSE,EQ,2940.5,-3.63,33684.02,13.96,412.37
