Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GUJALKALI,EQ,598.9,-2.63,4398.14,510.38,3264.95
ADANIENT,EQ,1825.2,-0.43,235940.39,112.11,2051.91
COALINDIA,EQ,441.6,-3,272146.08,203.21,901.49
LODHA,EQ,726,-0.26,72519.57,115,837.12
POWERGRID,EQ,298,-1.36,277157.99,241.24,718.64
TATAPOWER,EQ,385,-0.5,123020.57,97.27,377.04
MRPL,EQ,181.65,-0.82,31835.96,201.93,364.04
SUNPHARMA,EQ,1752.8,-0.32,420545.52,20.4,359.3
CHENNPETRO,EQ,991.9,-1.26,14770.52,36.4,355.55
GROWW,EQ,160.58,-0.97,100741.41,162.62,265.54
DCXINDIA,EQ,170,-2.96,1893.57,112.61,196.19
IDBI,EQ,66.95,-0.65,71987.33,282.3,189.28
GRINFRA,EQ,819,-3.02,7924.69,19.73,167.97
WEBELSOLAR,EQ,75.8,-0.99,3199.24,178.33,136.17
HYUNDAI,EQ,1851,-0.88,150401.36,6.2,115.1
HDBFS,EQ,605,-0.25,50233.39,18.62,112.14
CIPLA,EQ,1220,-0.15,98549.24,8.53,104.46
APTUS,EQ,201,-0.18,10064.93,51.45,103.33
INNOVISION,EQ,355.15,-5.09,845.73,29.31,100.45
CASTROLIND,EQ,174.1,-1.8,17219.62,54.3,94.26
NTPCGREEN,EQ,95.5,-1.42,80471.45,93.94,90.79
OLAELEC,EQ,23.2,-0.51,10233.13,382.34,89.74
GUJGASLTD,EQ,327.9,-2.21,22572.31,24.29,80.99
INDIAMART,EQ,1968,-0.13,11825.15,4.05,79.7
FINOPB,EQ,112.46,-20,935.87,63.06,76.1
ONESOURCE,EQ,1305,-6.05,14958.07,5.36,70.74
PIRAMALFIN,EQ,1786,-2.06,40484.64,3.74,67.42
JBCHEPHARM,EQ,2070,-0.5,33235.65,2.75,57.23
TENNIND,EQ,529,-1.38,21350.67,9.34,50.16
SBFC,EQ,84.5,-0.01,9349.2,52.69,44.36
BHARATCOAL,EQ,31.5,-1.25,14669.55,135.49,42.87
PTCIL,EQ,16505,-2.56,24745.2,0.23,37.77
JSWHL,EQ,12825,-7.18,14235.27,0.28,36.86
RAYMONDLSL,EQ,745,-4.68,4538.81,4.69,35.56
CIEINDIA,EQ,433.55,-2.72,16447.26,7.64,33.5
CMSINFO,EQ,270,-0.53,4445.21,11.61,31.71
YATRA,EQ,100.96,-1.45,1584.23,30.27,30.64
GILLETTE,EQ,7730,-0.74,25188.37,0.38,29.66
FINPIPE,EQ,160,-4.86,9927.63,18.02,29.19
GRMOVER,EQ,149,-2.05,2742.43,18.76,27.57
HEXT,EQ,434.65,-0.31,26557.81,6.16,26.92
FLUOROCHEM,EQ,3185,-1.95,34987.22,0.82,26.32
KNRCON,EQ,112.93,-0.99,3175.98,23.04,25.96
EMBDL,BE,43.14,-5,5999.19,58.57,25.67
RAYMONDREL,EQ,369,-1.49,2456.57,6.41,23.92
RMDRIP,EQ,38.68,-4.99,966.23,61.19,23.85
ASIANTILES,EQ,55.65,-2.9,1290.59,41.72,23.84
STOVEKRAFT,EQ,472,-4.47,1562.67,4.4,21.15
VTL,EQ,530,-1.63,15331.94,3.92,20.97
RELINFRA,BE,72.4,-1.62,2958.49,27.95,20.58
AWFIS,EQ,243.4,-2.76,1741.3,8.32,20.39
NIACL,EQ,124.6,-0.04,20534.08,15.99,19.87
ZFCVINDIA,EQ,13126,-1.48,24896.85,0.15,19.76
PAISALO,EQ,33.84,-1.05,3077.82,57.22,19.57
IPCALAB,EQ,1523,-0.45,38639.15,1.23,18.82
SBCL,EQ,377,-4.69,2171.68,4.88,18.63
EPACK,EQ,220.7,-0.85,2123.76,7.85,17.57
GENESYS,EQ,240.15,-2.85,1003.6,6.95,17.16
METROPOLIS,EQ,439.7,-2.33,9116.2,3.83,16.85
ATALREAL,EQ,22.05,-0.59,273.19,75.46,16.71
MANINDS,EQ,337,-0.04,2527.82,4.78,16.25
GSPL,EQ,232.05,-1.38,13092.52,6.78,15.86
COHANCE,EQ,295.95,-1.5,11322.07,5.23,15.57
TTKPRESTIG,EQ,438,-4.04,5998.45,3.5,15.37
CRISIL,EQ,3968,-0.79,29017.99,0.37,14.67
ORIANA,SM,1656,-1.25,3364.85,0.86,14.58
FLAIR,EQ,290,-1.49,3056.47,4.87,14.33
ISGEC,EQ,881,-0.23,6477.95,1.55,13.81
AYE,EQ,102.2,-0.39,2522.14,13.57,13.66
THYROCARE,EQ,365.3,-2.14,5814.31,3.36,12.47
RBA,EQ,59.51,-0.07,3468.35,20.85,12.42
RSL,EQ,106.99,-1.04,894.09,11.07,12.17
NORTHARC,EQ,218.55,-1.06,3531.15,5.48,12.16
FUSION,EQ,145.16,-4.05,2342.39,8.12,12.03
