Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,882.1,-0.64,1357502.98,383.79,3374.97
RELIANCE,EQ,1360,-2.43,1840416.28,237.29,3222.81
LT,EQ,4054,-5.24,557672.91,65.42,2652.07
ICICIBANK,EQ,1374.8,-0.3,983963.51,169.29,2318.54
BHARTIARTL,EQ,1872,-0.39,1067434.12,117.86,2210.67
SBIN,EQ,1189.5,-1.02,1097981.96,162.71,1932.54
ETERNAL,EQ,242.3,-1.62,233828,733.89,1768.53
NETWEB,EQ,3701.3,-4.15,21075.46,43.96,1671.92
INDIGO,EQ,4533,-6.09,175251.58,34.65,1587.07
INFY,EQ,1288.9,-0.86,522607.04,97,1248.22
BSE,EQ,2650,-2.11,108089.28,43.45,1151.15
M&M,EQ,3324.8,-2.14,413448.47,29.98,995.94
TCS,EQ,2611.7,-0.97,944935.92,33.74,879.49
MARUTI,EQ,14368,-3.29,451733.62,6.04,869.44
BAJFINANCE,EQ,975,-2.1,606658.83,84.93,831
SHRIRAMFIN,EQ,1048.1,-2.9,197202.96,67.18,707.66
AXISBANK,EQ,1367.2,-1.21,424781.11,51.33,702.75
REDINGTON,EQ,261.1,-6.9,20412.13,240.09,645.04
TATASTEEL,EQ,210.87,-0.69,263240.14,305.23,643.1
KOTAKBANK,EQ,411.2,-0.96,408992.83,152.37,626.79
ADANIPORTS,EQ,1468.9,-3.43,338428.55,42.08,616.22
DATAPATTNS,EQ,3201.9,-0.26,17925.51,18.54,606.69
ASIANPAINT,EQ,2303,-3.08,220903.25,25.28,583.53
TMCV,EQ,498.1,-1.42,183416.93,115.33,572.4
CLEANMAX,EQ,858,-10.63,10045.39,68.25,571.24
NIFTYBEES,EQ,281.99,-1.16,56975.13,201.64,567.23
IOC,EQ,179.08,-4.48,252883.14,314.65,565.01
POLYCAB,EQ,8550,-0.7,128719.76,6.54,561.05
BPCL,EQ,376,-2.44,163125.08,149.39,557.73
NTPC,EQ,377,-1.28,365564.31,147.32,552.86
PAYTM,EQ,1059.4,-3.54,67783.42,49.95,527.23
HINDUNILVR,EQ,2320,-0.77,545105.17,22.73,525.84
HINDPETRO,EQ,425.3,-3.07,90496.29,122.5,524.04
IDEA,EQ,10.35,-2.27,112135.04,4987.24,513.19
DIXON,EQ,10160,-3.5,61774.72,5,512.84
SUZLON,EQ,41,-3.91,56229.68,1160.14,474.38
POWERGRID,EQ,295.3,-1.12,274646.83,156.9,464.37
JIOFIN,EQ,249.1,-2.47,158256.76,184.13,456.58
ADANIENT,EQ,2124,-1.75,274565.75,21.35,448.76
KAYNES,EQ,3755,-2.63,25171.51,11.84,444.12
UNIONBANK,EQ,198.8,-1.72,151756.08,222.57,442
TMPV,EQ,371.3,-2.97,136735.89,118.05,438.92
IDFCFIRSTB,EQ,71.85,-2.22,61785.19,605.17,435.9
CANBK,EQ,153.89,-2.21,139588.25,282.09,434.93
GROWW,EQ,161.2,-1.4,99518.38,261.68,415.91
APOLLOHOSP,EQ,7780,-0.53,111864.46,5.34,413.71
GODREJPROP,EQ,1729.3,-0.1,52087.61,24.08,411.86
GVT&D,EQ,3775,-1.95,96657.57,10.47,401.07
CDSL,EQ,1231,-3.24,25727.9,31.51,388.04
WAAREEENER,EQ,2642.2,-2.48,76000.48,14.71,387.48
EICHERMOT,EQ,7809,-2.52,214211.96,4.94,387.35
TVSMOTOR,EQ,3802.3,-1.74,180642.37,10.02,382.93
MAXHEALTH,EQ,1079.2,-1.17,105016.17,34.68,374.29
ASHOKLEY,EQ,209.2,-0.9,122881.04,177.28,371.36
ADANIPOWER,EQ,138.1,-1.43,266321.63,267,364.43
SAIL,EQ,165.61,-0.06,68405.63,218.48,361.59
SWIGGY,EQ,289.85,-3.94,80007.69,121.54,353.9
BHEL,EQ,262.1,-1.08,91264.88,128.71,336.58
TITAN,EQ,4258.5,-1.59,378063.74,7.71,328.74
MAZDOCK,EQ,2218,-0.31,89469.68,14.49,322.62
BAJAJ-AUTO,EQ,9769.5,-2.04,273055.41,3.3,321.96
APOLLO,EQ,214.02,-10,7584.69,145.04,321.17
RGL,EQ,115.1,-2.87,1235.32,282.67,318.26
COALINDIA,EQ,425.45,-1.21,262193.28,74.98,318.04
MOTHERSON,EQ,128.66,-3.51,135787.94,245.42,315.68
ADANIGREEN,EQ,906.85,-4.28,148849.8,34.83,314.18
BAJAJFINSV,EQ,1935,-2.93,309706.42,15.95,311.51
GRSE,EQ,2390,-1.81,27377.93,12.82,310.69
IDBI,EQ,114.88,-0.97,123523.6,272.48,310.47
BANKBARODA,EQ,315.85,-1.89,163337.47,98.23,310.17
TRENT,EQ,3835,-1.65,136329.44,8.01,306.98
POWERINDIA,EQ,25555,-0.04,113904.67,1.19,302.82
PERSISTENT,EQ,4679,-1.14,73811.23,6.37,299.25
ULTRACEMCO,EQ,12481,-1.55,367789.07,2.38,295.69
PNB,EQ,126.35,-2.39,145213.34,229.15,290.29
RVNL,EQ,300.05,-5.15,62561.03,95.78,288.16
COFORGE,EQ,1166.9,-1.59,39177.56,24.48,286.19
HCLTECH,EQ,1370.8,-1.32,371989.21,20.89,286.08
GAIL,EQ,165.45,-2.41,108785.02,172.68,285.48
YESBANK,EQ,20.24,-2.32,63511.94,1410.55,284.65
MAHABANK,EQ,72.16,-3.48,55502.16,389.24,283.09
BHARATFORG,EQ,1887,-1.27,90202.12,14.91,280.59
IRFC,EQ,99.73,-3.69,130332.21,277.3,275.69
POLICYBZR,EQ,1474,-0.51,68200.96,18.45,269.67
NAUKRI,EQ,1009.8,-1.92,65477.51,26.66,267.63
PFC,EQ,405.6,-1.98,133852.13,63.88,258.47
DLF,EQ,588,-2.62,145548.52,42.43,249.22
GRASIM,EQ,2770,-1.06,188504.7,9.01,248.95
HEROMOTOCO,EQ,5584,-2.21,111730.13,4.32,242.54
CUMMINSIND,EQ,4844,-1.11,134275.68,5,242.42
AUBANK,EQ,952.95,-0.56,71264.77,25.34,241.56
LAURUSLABS,EQ,1068,-0.73,57656.68,22.62,240.64
VMM,EQ,117.04,-0.63,54692.82,199.11,233.07
ABCAPITAL,EQ,338.25,-1.8,88590.79,68.4,232.99
VBL,EQ,445,-1.42,150503.2,51.84,231.45
LTF,EQ,276.3,-2.69,69174.13,80.62,223.89
FORCEMOT,EQ,23350,-4.09,30431.85,0.95,223.25
HDFCAMC,EQ,2643.1,-2.06,113180.03,8.16,216.87
VOLTAS,EQ,1500,-3.93,49632.71,14.19,214.4
KRN,EQ,916.5,-8.17,5696.65,22.42,210.48
TECHM,EQ,1344.5,-0.98,131731.38,15.64,210.28
TARIL,EQ,306,-1.34,9185.07,69.27,209.32
WIPRO,EQ,198.75,-1.1,208446.38,104.87,208.03
TATAPOWER,EQ,368.15,-2.49,117636.43,56.46,207.82
SUPREMEIND,EQ,3962,-0.33,50328.05,5.13,204.2
SBILIFE,EQ,2031.4,-0.28,203752.83,10.09,203.91
RECLTD,EQ,339.85,-2.84,89490.12,59.52,202.17
LODHA,EQ,970.95,-1.75,96987.2,20.83,201.44
MANAPPURAM,EQ,276.7,-2.31,23420.85,70.99,200.5
SIEMENS,EQ,3321.9,-2.83,118299.67,5.99,200.2
JINDALSTEL,EQ,1236.4,-0.63,126123.69,15.9,197.48
360ONE,EQ,1068.4,-3.19,43368.06,18.38,197.23
HDFCLIFE,EQ,707.75,-1.06,152705.26,27.42,194.38
BANKINDIA,EQ,172.5,-2.02,78533.52,111.69,192.52
KALYANKJIL,EQ,402.25,-1.91,41538.86,48.04,191.72
DIVISLAB,EQ,6400,-0.13,169899.89,3,191.2
NHPC,EQ,73.4,-2.56,73730.56,257.23,190.2
APARINDS,EQ,10688,-4.41,42931.9,1.73,188.08
NMDC,EQ,81.29,-0.55,71468.68,229.82,185.97
FEDERALBNK,EQ,294.8,-1.68,72593.4,62.75,185.65
MTARTECH,EQ,3740,-1.75,11504.09,4.83,183.55
CGPOWER,EQ,713,-1.68,112290.56,25.8,183.41
CAMS,EQ,652.5,-3.7,16174.71,27.16,177.62
COCHINSHIP,EQ,1452.9,-2.6,38223.01,11.65,171.85
BELRISE,EQ,187.5,-0.12,16685.23,90.59,168.13
CHOLAFIN,EQ,1695.8,-2.02,144429.5,9.86,167.69
RBLBANK,EQ,313.95,-1.81,19391.19,52.96,165.55
ABB,EQ,5980,-1.53,126721.21,2.75,164.72
