Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SBIN,EQ,1168.5,-0.51,1078597.66,221.01,2574.77
SILVERBEES,EQ,248.1,-2.92,34587.98,1022.95,2538.03
TEJASNET,EQ,493,-1.33,8755.91,486.78,2443.88
ICICIBANK,EQ,1353.3,-0.89,968627.82,175.9,2386.91
NETWEB,EQ,3259.9,-5.82,18562.09,55.06,1816.01
INFY,EQ,1305.3,-0.16,529350.2,103.62,1348.4
JINDRILL,EQ,578,-3.39,1675.11,207.88,1317.37
ONGC,EQ,276.75,-0.07,348159.23,405.69,1143.37
ETERNAL,EQ,240.49,-0.1,232081.28,443.24,1053.95
GOLDBEES,EQ,132.13,-1.37,59402.42,650.09,860.65
AXISBANK,EQ,1349.4,-0.14,419250.75,60.57,815.55
TCS,EQ,2575,-0.49,931657.54,29.61,760.28
ITC,EQ,311.65,-0.1,390552.87,199.38,619.47
TATSILV,EQ,25.27,-1.94,5634.84,2240.76,565.79
PARAS,EQ,714.95,-0.85,5761.59,67.91,497.53
OIL,EQ,481.95,-2.06,78394.36,86.68,424.74
HINDUNILVR,EQ,2254.9,-0.28,529809.33,17.51,393.2
COFORGE,EQ,1153,-1.45,38712.92,31,357.59
SAIL,EQ,155.01,-0.39,64027.27,206.16,324.15
MUTHOOTFIN,EQ,3306.9,-0.99,132761.61,9.57,314.39
HCLTECH,EQ,1355.7,-0.61,367891.58,22.18,298.67
KEI,EQ,4938,-0.82,47207.57,5.81,286.55
SPMLINFRA,EQ,176.9,-1.36,1334.83,150.64,286.37
PERSISTENT,EQ,4636,-1.55,73132.9,6.15,285.84
HDFCSILVER,EQ,247.8,-2.17,8407.39,114.39,282.96
SILVERIETF,EQ,259.24,-2.38,16543.65,103.73,268.49
SAGILITY,EQ,39.76,-3.78,18612.96,658.49,266.29
INDHOTEL,EQ,630.85,-0.46,89797.22,42.58,266.01
GROWW,EQ,156.51,-0.32,96622.96,163.7,257.32
SCI,EQ,242.8,-1.38,11309.6,103.69,248.76
RVNL,EQ,281.3,-0.27,58651.62,87.18,243.64
GODREJCP,EQ,1134.9,-0.23,116128.03,19.26,216.89
SETFGOLD,EQ,136.99,-0.75,25466.75,154.32,210.59
ASIANPAINT,EQ,2282.5,-0.12,218936.9,9.25,210.23
TATAGOLD,EQ,15.5,-1.08,6096.04,1203.04,186.71
PFOCUS,EQ,278,-0.29,21572.54,65.51,184.73
KPITTECH,EQ,718.8,-2.36,19705.46,23.3,168.62
TECHM,EQ,1332.5,-1.38,130555.64,12.1,161.43
MPHASIS,EQ,2230.9,-1.6,42536.26,6.85,152.43
POLICYBZR,EQ,1466.4,-0.92,67849.31,9.89,145.62
HDFCGOLD,EQ,136.56,-1.27,23511.57,106.5,145.55
MFSL,EQ,1742.1,-0.33,60122.44,8.34,145.18
ENRIN,EQ,2868.8,-2.49,102163.85,4.75,136.07
SBISILVER,EQ,253.5,-2.97,6477.21,50.31,127.89
RPOWER,EQ,22.65,-2.24,9367.52,540.97,122.04
GOLDIETF,EQ,137,-0.94,26454.14,89.02,122.01
SILVER,EQ,258.7,-2.61,3540.61,46.84,121.2
COROMANDEL,EQ,2055,-2.54,60621.56,5.84,119.51
OLAELEC,EQ,24.38,-1.1,10753.6,482.78,118.23
ATHERENERG,EQ,679,-3.14,25960.57,17.13,117.87
PATANJALI,EQ,499,-0.87,54287.11,22.5,112.6
GUJGASLTD,EQ,395,-5.41,27191.41,27.24,107.42
PHOENIXLTD,EQ,1609.9,-0.07,57571.97,6.44,105.35
UNOMINDA,EQ,1119.1,-0.48,64618.53,9.38,104.64
ANURAS,EQ,1240.9,-0.45,14127.44,8.23,102.26
BALRAMCHIN,EQ,488.2,-0.71,9859.22,19.45,95.04
MANAPPURAM,EQ,267.5,-0.65,22642.13,35.05,93.75
SHREECEM,EQ,25225,-0.51,91013.69,0.37,92.72
NEWGEN,EQ,469,-1.69,6674.7,18.96,88.98
LTM,EQ,4309,-0.93,127758.97,1.94,83.37
CLEANMAX,EQ,830,-3.21,9717.57,9.73,83.17
IKS,EQ,1302.7,-2.13,22350.84,6.26,81.65
