Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GANGAFORGE,EQ,2.84,-2.41,38.28,4.91,0.14
ORIENTALTL,EQ,5.95,-2.3,43.74,2.31,0.14
876HUDCO28,ND,1103,-0.63,898.95,0.01,0.14
ARABIAN,SM,72.95,-1.35,79.46,0.18,0.13
PREMIUM,SM,33.65,-1.61,64.26,0.39,0.13
VALIANTLAB,EQ,54.74,-1.85,297.31,0.24,0.13
MUKTAARTS,EQ,49.5,-2.69,111.8,0.26,0.13
CEREBRAINT,BZ,4.67,-0.85,56.59,2.81,0.13
TPHQ,EQ,0.54,-1.82,59.2,23.44,0.13
CORALFINAC,EQ,32.3,-1.07,130.18,0.39,0.13
K2INFRA,SM,46.25,-7.13,58.36,0.25,0.12
RELIABLE,EQ,120,-1.21,123.84,0.1,0.12
NITIRAJ,EQ,213.05,-2.36,218.4,0.05,0.12
830NHAI27,N2,1056.85,-0.31,3469.66,0.01,0.12
RAJSREESUG,EQ,28.5,-0.21,94.44,0.42,0.12
RADIOCITY,EQ,5.75,-0.86,198.77,2.07,0.12
PATILAUTOM,SM,150.25,-4.57,327.86,0.08,0.12
ALPA,EQ,62,-0.24,130.45,0.19,0.12
97SFL28,YS,1060,-0.47,41.32,0.01,0.11
MMEL,SM,26,-4.76,48.9,0.44,0.11
ORBTEXP,EQ,159.49,-1.28,422.83,0.07,0.11
OWAIS,SM,119.2,-4.98,216.73,0.09,0.11
SHRITECH,SM,59.45,-2.54,148.33,0.18,0.11
TRUST,SM,32.5,-0.76,77.43,0.33,0.11
GRPLTD,EQ,1744,-1.6,930.13,0.01,0.11
MAL,SM,38,-5,93.81,0.27,0.1
AVANA,SM,64.7,-0.54,146.52,0.16,0.1
IL&FSENGG,BZ,23.5,-0.17,308.13,0.45,0.1
TECH,EQ,32.48,-0.55,182.28,0.32,0.1
970CAGL28,ND,1016.52,-0.54,257.41,0.01,0.1
TANKUP,ST,511.2,-1.98,270.68,0.02,0.1
ITALIANE,ST,41.55,-4.92,61.4,0.24,0.1
SGBMAR30X,GB,15900,-0.43,2448.11,0,0.1
SALSTEEL,BE,43.13,-2,449.49,0.24,0.1
INFOLLION,SM,312,-2.74,302.85,0.03,0.1
654GS2032,GS,100.06,-0.15,156093.6,0.1,0.1
RHL,EQ,183.3,-0.24,316.96,0.05,0.1
GOYALSALT,SM,115,-5.74,205.85,0.08,0.09
TEXMOPIPES,EQ,42.43,-0.19,123.87,0.22,0.09
RVTH,EQ,600,-1.36,184.02,0.01,0.09
ARUNAYA,SM,17.05,-1.16,29.9,0.52,0.09
76TN32,SG,96,-4,1920,0.09,0.09
ANLON,SM,357.1,-1.35,223.38,0.02,0.09
828GS2032,GS,107,-0.1,97035.21,0.08,0.09
MANAV,ST,42.75,-5,56.26,0.2,0.09
810IRFC27,N2,1054,-0.09,3262.6,0.01,0.09
UMAEXPORTS,EQ,22.87,-1.34,77.32,0.37,0.08
DANGEE,EQ,2.85,-2.4,43.88,2.93,0.08
ARVINDPORT,SM,33,-2.94,58.73,0.26,0.08
UNIENTER,EQ,100.27,-1.41,697.34,0.08,0.08
EMAPARTNER,SM,81.2,-5.58,188.76,0.1,0.08
KATARIA,SM,103.4,-0.53,222.63,0.08,0.08
772MH31,SG,96,-4,2400,0.08,0.08
1003ISFL28,N4,1003,-0.1,80.63,0.01,0.08
767KA32,SG,96,-4,1920,0.08,0.08
ELGNZ,SM,74.2,-1.07,167.69,0.1,0.08
VAISHALI,EQ,6.5,-0.15,84.8,1.15,0.08
GREENCHEF,SM,53.05,-6.52,123.46,0.14,0.07
SONAMAC,SM,33,-4.07,45.29,0.22,0.07
653KA30,SG,93,-3.88,930,0.08,0.07
APCL,EQ,113,-2.08,331.93,0.06,0.07
CEDAAR,SM,26.55,-3.45,36.85,0.27,0.07
GROBTEA,EQ,864.9,-1.67,100.53,0.01,0.07
TARMAT,BE,57.71,-4.99,144.65,0.12,0.07
VARDHACRLC,EQ,33.8,-0.09,271.63,0.21,0.07
PURVFLEXI,SM,42,-2.1,88.13,0.17,0.07
BANKA,EQ,51.55,-4.63,56.31,0.13,0.07
GSEC10IETF,EQ,260.58,-0.07,625.68,0.03,0.07
ENIL,EQ,105.5,-0.65,502.92,0.06,0.07
LIBAS,EQ,9.57,-3.33,25.21,0.68,0.07
SUPREMEINF,BZ,74,-1.73,715.84,0.09,0.06
UMA,SM,17.6,-2.22,35.68,0.36,0.06
797IGT31,NL,1020,-0.97,42.04,0.01,0.06
JISLDVREQS,EQ,20.5,-0.29,39.55,0.31,0.06
VSCL,SM,23.4,-1.47,29.91,0.27,0.06
WOL3D,ST,125.15,-1.77,80.75,0.05,0.06
GJL,ST,196.65,-5,285.28,0.03,0.06
SEYAIND,BE,8.71,-4.91,23.14,0.7,0.06
SEL,SM,173,-4.42,40.11,0.04,0.06
BLUEPEBBLE,ST,105.2,-0.8,42.92,0.06,0.06
MITTAL,EQ,0.87,-1.14,38.62,7.13,0.06
VISAMAN,ST,122.55,-5,237.39,0.05,0.06
RNBDENIMS,BE,125.59,-4.99,1129.98,0.05,0.06
SUNTECH,SM,34.5,-1.43,66.8,0.18,0.06
830PFCL27,N5,1054.01,-0.09,1297.62,0.01,0.06
DCG,SM,57,-1.38,103.45,0.11,0.06
TGL,ST,40.75,-1.93,48.9,0.15,0.06
AMBEY,SM,21.4,-0.47,53.39,0.28,0.06
MPEL,SM,44.35,-5.03,34.49,0.13,0.06
COMPUSOFT,EQ,12.26,-0.49,97.01,0.48,0.06
NBIFIN,EQ,1832.1,-1.15,541.36,0,0.06
691MH33,SG,96,-4,9600,0.06,0.06
RAJPUTANA,SM,229.05,-1.27,161.1,0.03,0.06
574GS2026,GS,101.45,-0.54,82174.5,0.06,0.06
HEADSUP,EQ,6.87,-4.58,15.17,0.77,0.05
ENSER,SM,11.75,-2.89,102.41,0.45,0.05
BEDMUTHA,BE,127.01,-3.71,409.78,0.04,0.05
SGBJUL29IV,GB,15765,-0.6,4609.31,0,0.05
732GS2030,GS,104.91,-0.23,73437,0.05,0.05
AGNI,SM,16.3,-1.51,31.84,0.33,0.05
SOFTTECH,EQ,253.1,-0.71,350.34,0.02,0.05
KEYFINSERV,EQ,263,-0.13,146.4,0.02,0.05
ENVIRO,SM,96.1,-0.47,180.57,0.05,0.05
SIL,EQ,14.01,-0.78,90.12,0.35,0.05
SAMAY,SM,39.5,-4.93,60.63,0.12,0.05
STUDIOLSD,SM,10.3,-0.48,53.45,0.46,0.05
MANUGRAPH,EQ,13.76,-1.5,41.85,0.34,0.05
AARNAV,EQ,24.2,-0.62,102.22,0.19,0.05
MSCIADD,EQ,28.88,-0.93,3.26,0.16,0.05
PELATRO,SM,308,-0.16,326.4,0.01,0.05
ANANTAM,IV,102.7,-0.03,2233.72,0.04,0.04
RKDL,EQ,18.62,-0.05,44.69,0.23,0.04
MOGSEC,EQ,63.52,-0.73,156.45,0.07,0.04
BRACEPORT,SM,65.2,-1.95,73.68,0.06,0.04
SOMATEX,BE,102.45,-2,338.42,0.04,0.04
KKVAPOW,SM,600.4,-5,37.44,0.01,0.04
PFCL36B,N9,51200,-0.1,136.43,0,0.04
KORE,SM,105.65,-4.99,128.1,0.04,0.04
726GS2032,GS,103.1,-0.13,152588,0.04,0.04
OSWALSEEDS,EQ,12.14,-1.06,111.04,0.32,0.04
JAINAM,SM,194.6,-4.14,227.9,0.02,0.04
PRESSTONIC,ST,47.55,-5,36.65,0.08,0.04
AHLADA,EQ,40.89,-0.02,52.83,0.09,0.04
830CIFC26,N2,1065,-0.37,199.37,0,0.04
ENERGYDEV,EQ,15.4,-0.45,73.15,0.25,0.04
CHEMBOND,EQ,138.1,-2.23,185.72,0.03,0.04
