Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,317.98,8.63,45510.97,2232.76,7000.14
HDFCBANK,EQ,928,1.3,1427901.11,447.53,4104.31
ICICIBANK,EQ,1367.1,1.76,977795.36,252.64,3415.21
AXISBANK,EQ,1322,5.09,410529.61,227.15,2984.66
TATSILV,EQ,32.54,9.86,6679.98,7508.58,2386.23
HINDZINC,EQ,726.5,3.98,306969.43,257.92,1857.08
GOLDBEES,EQ,131.8,3.44,53645.71,1396.58,1830.77
INFY,EQ,1687.4,0.99,684184.66,106.73,1792.05
KARURVYSYA,EQ,291.5,9.79,28172.61,556.31,1619.35
HINDCOPPER,EQ,563.6,5.17,54501.47,278.21,1541.46
MCX,EQ,2440,6.92,62218.01,64.4,1534.46
SBIN,EQ,1053,2.28,971984.03,144.21,1505.76
TCS,EQ,3167,0.14,1145848.32,42.8,1346.81
VEDL,EQ,706.95,3.33,276444.88,186.67,1308.94
SILVERIETF,EQ,333.6,8.82,22631.07,387.02,1264.77
ULTRACEMCO,EQ,12590,1.79,371001.08,9.26,1173.18
BSE,EQ,2766.3,3.01,112832.97,40.92,1117.93
ADANIGREEN,EQ,798,3.26,130983.23,137.52,1096.6
ADANIENT,EQ,1963,5.3,253753.56,54.5,1060.59
HINDALCO,EQ,964,1.44,216632.64,100.1,963.37
HOMEFIRST,EQ,1237.5,11.21,12881.83,78.33,960.2
LT,EQ,3804.5,1.62,523339.74,21.62,815.6
TATASTEEL,EQ,193.1,2.93,241056.91,423.14,808.08
HDFCSILVER,EQ,323,9.84,10664.21,235.06,743.68
INDUSINDBK,EQ,893,0.06,69571.48,84.2,740.6
BEL,EQ,417.7,1.7,305329.46,154.82,642.87
BRITANNIA,EQ,5878.5,0.75,141594.43,10.44,612.94
SAIL,EQ,156.65,5.11,64704.68,400.35,611.9
PAYTM,EQ,1150,0.98,73568.74,52.81,601.11
INDIGO,EQ,4764,1.26,184172,12.55,593.41
NATIONALUM,EQ,385.4,3.98,70783.79,155.93,592.41
DLF,EQ,610.8,3.8,151192.24,90.14,540.45
WAAREEENER,EQ,2701.4,3.93,77703.31,20.2,534.94
LODHA,EQ,911.5,1.24,91038.8,59.65,529.52
APLAPOLLO,EQ,2069.2,3.45,57448.45,25.3,522.12
ADANIPORTS,EQ,1365,4.33,314490.42,38.39,519.26
GROWW,EQ,169.3,1.07,104518.99,307.97,511.72
TECHM,EQ,1748,2.76,171255.29,29.33,506.82
COFORGE,EQ,1670,2.05,55944.96,30.18,499.86
BHARATCOAL,EQ,37.85,3.56,17626.74,1315.39,484.72
JSWSTEEL,EQ,1223.2,4.55,299127.93,38.09,459.95
HCLTECH,EQ,1720.2,0.77,466804.67,26.72,458.15
SILVER,EQ,332,8.4,4720.89,138.96,455.93
TATACONSUM,EQ,1189.5,3.12,117660.23,38.44,452.54
HAL,EQ,4370,1.49,292254.67,10.42,450
SWIGGY,EQ,316.2,1.43,87281.11,142.94,442.9
POWERGRID,EQ,255,0.33,237165.4,173.75,441.55
IIFL,EQ,528.15,1.34,22458.41,85.31,441.2
ASHOKLEY,EQ,193.25,0.14,113512.24,230.69,439.81
KALYANKJIL,EQ,370.55,0.91,38265.31,120.99,439.37
SUNPHARMA,EQ,1639,0.44,393241.74,26.67,436.14
SETFGOLD,EQ,135.75,3.22,23715.7,321.03,434.26
GRSE,EQ,2405,7.62,27549.76,18.54,430.85
GRASIM,EQ,2860,3.66,194629.22,15.21,430.52
BPCL,EQ,358.25,2.61,155424.36,118.88,422.04
NTPC,EQ,346,2.76,335504.65,122.04,418.33
SBISILVER,EQ,329,9.07,8577.07,128.76,414.82
TATAGOLD,EQ,15.48,3.61,4888.63,2612.15,401.75
SONACOMS,EQ,489.8,7.39,30451.89,82.64,397.87
