Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
TBI,SM,73.35,1.8,133.19,0.09,0.07
ZENITHSTL,EQ,5.05,4.99,71.85,1.32,0.07
SUVIDHAA,EQ,3.12,9.86,65.46,2.2,0.07
706GS2028,GS,103.6,0.38,114996,0.06,0.07
SICALLOG,BE,91,0.88,593.77,0.07,0.06
KRITI,EQ,77.5,1.28,408.39,0.08,0.06
876HUDCO28,ND,1110,0.41,904.65,0.01,0.06
ENSER,SM,13.4,3.47,116.8,0.5,0.06
GAYAHWS,EQ,1.97,4.79,47.21,3.24,0.06
PAVNAIND,EQ,17.6,0.4,245.57,0.36,0.06
717GS2030,GS,104.9,0.48,108047,0.06,0.06
HDFCBSE500,EQ,37.19,0.27,18.61,0.17,0.06
ORIENTLTD,EQ,64.11,4.31,64.11,0.1,0.06
CURRENT,SM,129,2.71,247.01,0.05,0.06
SPECTSTM,SM,89.95,2.74,207.72,0.07,0.06
MCON,ST,56.3,1.53,41.26,0.11,0.06
DGCONTENT,EQ,25.5,0.31,148.38,0.24,0.06
TREEHOUSE,EQ,7.79,10.81,32.96,0.82,0.06
AGROPHOS,EQ,36.9,0.44,74.81,0.16,0.06
SELECTIPO,EQ,42.52,0.52,17.79,0.14,0.06
KEL,SM,98.75,2.86,101.44,0.06,0.06
K2INFRA,SM,59.85,2.92,75.52,0.1,0.06
ASHIMASYN,EQ,16.4,1.74,314.32,0.34,0.06
SIL,EQ,14.39,1.91,92.57,0.39,0.06
ORCHASP,EQ,2.69,5.08,85.96,2.14,0.06
XTGLOBAL,EQ,27,2,360.62,0.2,0.06
TICL,BE,22.5,0.81,348.75,0.25,0.06
ALPHAGEO,EQ,216.5,1.14,137.8,0.03,0.06
EUROBOND,EQ,178,1.39,436.1,0.03,0.05
INFINIUM,SM,218,0.79,339.71,0.03,0.05
MODIRUBBER,EQ,124.17,5,310.93,0.04,0.05
MONEXT50,EQ,69.5,1.15,1.95,0.08,0.05
ROCKINGDCE,ST,220,4.19,124.5,0.03,0.05
PEARLPOLY,EQ,19.39,0.67,32.64,0.28,0.05
KOTYARK,SM,203.95,6.5,209.64,0.03,0.05
INCREDIBLE,EQ,38.5,4.19,180.04,0.14,0.05
GML,ST,17.9,1.7,27.16,0.3,0.05
INSPIRISYS,EQ,84.57,2.67,335.04,0.06,0.05
CALSOFT,EQ,14.23,1.57,87.98,0.38,0.05
888IRFC29,NE,1172,0.17,511.48,0,0.05
