"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"JINDRILL","Jindal Drilling And Industries Limited",10137785,48252,210.10082483627622,54738,185.20493914670195,518,16.33,5164491812
"NIFTYBETF","Bajaj Finserv Mutual Fund - Bajaj Finserv Nifty 50 ETF",674457,3567,189.0612210573527,13416,50.271460834954496,257.72,-0.08,170165501
"IDEAFORGE","Ideaforge Technology Limited",14648342,122008,120.05991380935443,146728,99.83303845744928,429,3.87,6693706360
"PARAS","Paras Defence and Space Technologies Limited",17809445,235287,75.69217358486075,264247,67.39680890195407,657,3.01,12401785120
"EQUAL50","Mirae Asset Mutual Fund - Mirae Asset Nifty50 Equal Weight ETF",66710,1084,61.51789007746219,1245,53.55221963554628,329.41,-1.3,21961599
"KRIDHANINF","Kridhan Infra Limited",2094662,37358,56.06877094553358,39247,53.370312145679875,2.73,-19.94,5865053
"HECPROJECT","HEC Infra Projects Limited",371994,7108,52.328663065496286,6347,58.60757499369801,118.68,5.27,49583080
"DEVIT","Dev Information Technology Limited",5495249,120494,45.605769885123486,90934,60.43091503325474,23.56,1.51,128533874
"FINKURVE","Finkurve Financial Services Limited",494455,11137,44.396706533060375,11147,44.356480941573295,66,-15.31,31912125
"AKG","Akg Exim Limited",835019,19678,42.43370836763525,59550,14.021961081966992,10.75,-19.11,9327162
"LICNETFN50","LIC MF - LIC MF EXCHANGE TRADED FUND - NIFTY 50",65177,1825,35.697776317230804,3838,16.980694578328947,277.87,-1.28,18102911
"EGOLD","Edelweiss Mutual Fund -Edelweiss Gold ETF",1398018,43284,32.298724701968396,113137,12.356782929120886,166.5,4.91,233496966
"SINTERCOM","Sintercom India Limited",319251,11606,27.50740996036533,41924,7.614921143773077,88.5,0.98,28058970
"AXISBNKETF","AXIS MUTUAL FUND - Axis NIFTY Bank ETF",13466,578,23.265376641326885,4890,2.7533327880919276,615.6,-1.18,8273914
"TOP10ADD","DSP Mutual Fund - DSP Nifty Top 10 Equal Weight ETF",1685167,73548,22.91229200827752,87558,19.246118037250397,93.99,-0.15,156400349
"3PLAND","3P Land Holdings Limited",38006,2246,16.921638468388245,2013,18.878402543214783,31.4,-3.92,1268640
"DREDGECORP","Dredging Corporation of India Limited",2780602,174307,15.952325494673191,152888,18.18715898283844,967,1.66,2782743063
"BANKNIFTY1","Kotak Nifty Bank ETF",1001130,67505,14.830281249907415,98726,10.140417941651043,62.08,-0.83,62030014
"KHANDSE","Khandwala Securities Limited",28946,2013,14.376676268997715,7258,3.98765653198143,16.75,-1.76,477609
"LICMFGOLD","LIC MF Gold EXCHANGE TRADED FUND",32620,2271,14.363716424482607,2566,12.7094210239227,15160,5.79,493201025
"JKIPL","Jinkushal Industries Limited",398436,28308,14.074634036059459,57261,6.958243830879656,58.48,-9.88,23619286
"IIFLCAPS","IIFL Capital Services Limited",6399305,474211,13.494624971057211,598841,10.686150413882817,317.95,10.21,1996135208
"MADHAV","Madhav Marbles and Granites Limited",38266,2997,12.7663975445386,5547,6.897881928796755,34.5,-10.74,1335100
"HMVL","Hindustan Media Ventures Limited",60388,4730,12.76486006595079,10405,5.803302004651252,66.15,-5.63,4126312
"HGM","HandsOn Global Management (HGM) Limited",31068,2790,11.135483870967741,8696,3.572512763902304,54.74,-1.51,1683885
