"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"AXISTECETF","AXIS MUTUAL FUND - AXIS NIFTY IT ETF",1042180,8742,119.2130097420548,6318,164.93274058727897,345.71,11.05,337551680
"PURVA","Puravankara Limited",11212920,124927,89.75529839934042,140015,80.08344533395665,232,8.88,2689306732
"DHANUKA","Dhanuka Agritech Limited",3465855,40538,85.49539326812783,38122,90.91374207994811,1178,8.48,4161244147
"SEAMECLTD","Seamec Limited",1961643,40899,47.96212698503254,46216,42.4445211582606,1551,3.95,3182255740
"KIRLOSIND","Kirloskar Industries Limited",198716,4386,45.29827894076973,4188,47.439633656705084,3450,12.98,663405417
"KPL","Kwality Pharmaceuticals Limited",456863,16279,28.06341243678208,15601,29.284041908491247,2004,9.13,879904432
"MONTECARLO","Monte Carlo Fashions Limited",449965,16921,26.5921044855505,17995,25.0046224260917,577.95,2.1,266572764
"DREDGECORP","Dredging Corporation of India Limited",2212534,84903,26.05955031035417,107356,20.60924872133591,994,14.81,2169455963
"TRITURBINE","Triveni Turbine Limited",23988920,1068675,22.447344851124857,988794,24.260777450003854,648,8.61,15206576388
"KOPRAN","Kopran Limited",5996945,274827,21.82074706209831,243755,24.602309916537035,169.29,2.48,1053003572
"SPARC","Sun Pharma Advanced Research Company Limited",43107773,1993672,21.62229945547713,5025679,8.577501953557755,180,10.95,7707669812
"UFBL","United Foodbrands Limited",1266259,65642,19.290329132950617,73584,17.208240623946015,333,-8.65,418599900
"SAKSOFT","Saksoft Limited",5954748,314630,18.926152568302307,391158,15.22335811208891,142.16,6.68,888924781
"AUTOIND","Autoline Industries Limited",4856471,304186,15.965421470686053,477819,10.16382208339287,88,13.37,437082390
"APOLLO","Apollo Micro Systems Limited",114856385,7991390,14.372515346932524,9448335,12.156256631459405,342.5,10.13,38969622866
"UCAL","UCAL LIMITED",62973,4815,13.076241564284478,6558,9.601671656686626,94,-6.1,6093267
"GPTINFRA","GPT Infraprojects Limited",1559409,119534,13.045644993300419,182479,8.545677416912108,116.26,-0.99,190793691
"FIRSTCRY","Brainbees Solutions Limited",18510979,1734001,10.675294814211059,1339638,13.817891638741335,221.02,1.89,4268076428
"SOMANYCERA","Somany Ceramics Limited",3200471,310684,10.301353945884008,186217,17.186740135677155,499,11.91,1610925073
"MOIPO","Motilal Oswal Mutual Fund - Motilal Oswal BSE Select IPO ETF",41376,4092,10.109378181373947,3442,12.017743979721166,42.81,1.3,1758480
"FCL","Fineotex Chemical Limited",223560391,22336962,10.008540224026428,18560334,12.045062869288575,33,8.13,7388670922
"AVAILFC","Available Finance Limited",21025,2443,8.60563476362644,1943,10.816340847441774,157.12,5.67,3325944
"DECNGOLD","Deccan Gold Mines Limited",5585752,669212,8.346755912547936,535892,10.423274012840098,135.05,10.88,751060213
"PNGJL","P N Gadgil Jewellers Limited",4509053,544595,8.279639438702498,454720,9.916096919466622,519.8,-4.67,2346556271
"INVPRECQ","Investment & Precision Castings Limited",15464,1917,8.066069720942362,5158,2.9980084245404397,609,1.29,9500463
