"SYMBOL","SECURITY","TODAY - VOLUME","1 WEEK - AVG. VOLUME","1 WEEK - CHANGE","2 WEEK - AVG. VOLUME","2 WEEK - CHANGE","TODAY - LTP","TODAY - % CHNG","TODAY - TURNOVER"
"ATULAUTO","Atul Auto Limited",12489235,114300,109.26676547063703,140614,88.81896959417415,481.5,10.55,6277713972
"ATLASCYCLE","Atlas Cycles (Haryana) Limited",676750,11023,61.3899018487273,8441,80.1741499822296,117,13.53,80621227
"EIEL","Enviro Infra Engineers Limited",85659777,1413669,60.59394172185993,5825221,14.704981316805664,194.81,12.51,16889538231
"PURVA","Puravankara Limited",16906499,344477,49.07871696588337,314550,53.748080397201406,216.2,10.73,3714865025
"DMCC","DMCC SPECIALITY CHEMICALS LIMITED",554575,18370,30.188838444872673,22291,24.87887488223947,268.68,20,145692398
"NATHBIOGEN","Nath Bio-Genes (India) Limited",341634,11908,28.68800698654754,16224,21.05716024747097,173.2,13.25,58501406
"JKIPL","Jinkushal Industries Limited",1346045,53302,25.252990484481,67427,19.96277497024593,65.83,20,84908518
"SDL26BEES","Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight",838707,35012,23.9544335467803,26204,32.006831018165165,137.4,-0.23,115229954
"JYOTICNC","Jyoti CNC Automation Limited",8078086,373870,21.606636092808582,353586,22.84615422686827,700.85,-14.45,5697554836
"DPWIRES","D P Wires Limited",695814,41725,16.67586960585537,34951,19.90798678168319,192.5,4.94,138536567
"TATAINVEST","Tata Investment Corporation Limited",13553272,1021937,13.262333536737874,888164,15.25987542841187,709,6.51,9638002784
"NTPCGREEN","NTPC Green Energy Limited",91182889,7225491,12.619610757546539,7880089,11.571301005348655,104.28,7.32,9476637653
"BIRLACABLE","Birla Cable Limited",726976,57661,12.607584223870916,57178,12.714205139191913,145.5,11.36,105462408
"SECMARK","SecMark Consultancy Limited",75943,6115,12.418727106227106,9932,7.646294804671768,133.05,1.7,10550001
"KECL","Kirloskar Electric Company Limited",4637548,380781,12.179036149893955,349902,13.253815076540883,115.45,10.78,539996089
"SARDAEN","Sarda Energy & Minerals Limited",4815900,418391,11.510513839433601,509759,9.44739858879496,583,5.12,2790862209
"TATACHEM","Tata Chemicals Limited",14172700,1263912,11.213354467706074,2283821,6.205695826676453,715,3.64,10452649704
"PAVNAIND","Pavna Industries Limited",1224350,113805,10.758276848023028,132308,9.253751648609121,20.01,10.67,24389052
"CREATIVEYE","Creative Eye Limited",100555,9652,10.417832204057106,12107,8.305525728917155,6.43,-2.28,634502
"21STCENMGM","21st Century Management Services Limited",20989,2043,10.271606146618382,1880,11.159909610527714,30.4,0.2,630929
"NIBE","NIBE Limited",506755,52146,9.717891482857944,65795,7.701985131933665,1014,4.54,527552225
"RETAIL","JHS Svendgaard Retail Ventures Limited",128268,13323,9.626983293054534,10391,12.343401537295659,22.18,0.91,3123325
"SUPRAJIT","Suprajit Engineering Limited",549731,60079,9.150135654721284,71453,7.693522033483197,411.7,-5.71,226060381
"DYNPRO","Dynemic Products Limited",94782,11596,8.173116721854305,22507,4.211199786734201,230.5,4.11,22484186
"ITBETA","UTI Mutual Fund - UTI Nifty IT ETF",9070,1168,7.762752482026703,1420,6.3850756775783175,320.93,-1.37,2895869
