"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","26,750.35","0.73","0.73","28.91","4.59","1.18"
"NIFTY FINANCIAL SERVICES 25/50","29,773.10","-0.85","-0.85","17.51","3.00","0.94"
"NIFTY FMCG","51,215.20","1.37","1.37","37.40","9.24","2.20"
"NIFTY IT","38,036.15","-1.03","-1.03","27.03","7.06","2.80"
"NIFTY MEDIA","1,385.20","1.85","1.85","29.69","1.46","1.40"
"NIFTY METAL","11,827.55","-5.21","-5.21","20.63","3.08","1.55"
"NIFTY PHARMA","21,715.10","0.70","0.70","33.10","4.73","0.70"
"NIFTY PSU BANK","9,019.35","0.06","0.06","9.11","1.47","2.13"
"NIFTY PRIVATE BANK","28,553.15","-0.63","-0.63","20.03","2.25","0.55"
"NIFTY REALTY","783.00","0.84","0.84","35.68","3.79","0.38"
"NIFTY HEALTHCARE INDEX","13,893.85","0.75","0.75","35.99","5.21","0.60"
"NIFTY CONSUMER DURABLES","34,387.55","1.08","1.08","57.22","10.77","0.43"
"NIFTY OIL & GAS","11,791.70","-0.53","-0.53","10.51","1.62","2.73"
"NIFTY MIDSMALL HEALTHCARE","41,723.60","1.21","1.21","39.25","5.09","0.46"
"NIFTY FINANCIAL SERVICES EX-BANK","30,928.45","-0.98","-0.98","23.66","4.36","0.81"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,616.00","-1.18","-1.18","29.71","2.97","0.65"
"NIFTY MIDSMALL IT & TELECOM","9,836.45","0.66","0.66","58.94","9.62","1.15"
"NIFTY CHEMICALS","27,819.35","0.63","0.63","37.32","4.10","0.63"
"NIFTY500 HEALTHCARE","17,713.65","0.99","0.99","37.07","5.36","0.57"
