Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,913.15,-0.27,1405162.99,226.55,2069.57
INFY,EQ,1353,-1.28,548597.5,126.34,1711.49
NEWGEN,EQ,550,-11.7,7827.48,228.47,1320.04
BHARTIARTL,EQ,1977.8,-0.54,1127762.39,51.8,1027.51
NITINSPIN,EQ,375.05,-0.5,2108.53,251.94,1027.35
BSE,EQ,2738,-0.12,111678.66,34.51,949.28
PERSISTENT,EQ,5104,-3.08,80515.6,16.67,855.67
GODFRYPHLP,EQ,2470.1,-2.12,38529.05,31.78,776.81
M&M,EQ,3417,-0.43,424913.8,22.61,772.83
INDUSINDBK,EQ,924.7,-0.29,72041.17,64.62,605.74
DIXON,EQ,11020,-1.93,67003.69,4.85,540.48
KAYNES,EQ,3852.6,-0.67,25825.77,13.66,529.42
ETERNAL,EQ,268.2,-1.31,258822.4,193.17,521.29
OIL,EQ,473.95,-0.58,77093.08,83.14,397.13
WIPRO,EQ,210.03,-0.56,220273.82,176.9,371.62
IDEA,EQ,11.12,-1.24,120477.45,3149.55,354.64
HCLTECH,EQ,1438.8,-0.8,390442.13,23.92,344.78
COFORGE,EQ,1338.9,-1.62,44952.29,24.23,326.99
JIOFIN,EQ,258.5,-0.04,164228.71,112.15,291.25
SUZLON,EQ,44.38,-1.92,60865.2,616.47,275.75
BPCL,EQ,365,-0.72,158352.8,69.29,253.04
ADANIENSOL,EQ,991.95,-1.51,119161.23,25.35,252.4
BRITANNIA,EQ,6088,-0.34,146640.62,3.88,236.86
TECHM,EQ,1464,-1.03,143434.38,16,233.86
DRREDDY,EQ,1277.8,-0.35,106646.38,17.53,224.9
DIVISLAB,EQ,6292,-0.09,167032.83,3.39,213.12
INDUSTOWER,EQ,472,-0.19,124521.28,44.74,211.85
GROWW,EQ,169.3,-0.08,104518.99,123.82,211.18
SWIGGY,EQ,322.75,-1.19,89089.12,64.54,209.65
HINDPETRO,EQ,431.1,-0.75,91730.43,47.38,203.87
ABCAPITAL,EQ,343.05,-0.36,89814.63,56.88,195.32
APOLLOHOSP,EQ,7590,-0.03,109132.55,2.56,194.86
E2E,EQ,2862,-3.42,5760.34,6.57,192.33
NAUKRI,EQ,1074.5,-1.6,69672.79,17.7,192.06
RBLBANK,EQ,327.6,-1.49,20234.29,57.81,191.61
GODREJPROP,EQ,1813.1,-0.61,54611.72,10.44,189.62
KALYANKJIL,EQ,401.2,-0.88,41430.43,45.04,181.45
UPL,EQ,751.5,-1.77,63438.97,24,181.25
GRASIM,EQ,2835,-1.02,192928.09,5.98,170.35
ANGELONE,EQ,2492,-0.7,22653.65,6.75,169.95
VIKRAMSOLR,EQ,192.7,-10.73,6982.1,85.55,167.35
MPHASIS,EQ,2365,-0.49,45093.12,6.86,162.6
IIFL,EQ,496.4,-0.29,21111.16,31.32,155.15
IOC,EQ,173.59,-0.41,245130.58,89.36,154.94
SCI,EQ,255.33,-2.29,11893.25,59.24,154.87
MTARTECH,EQ,3630,-0.49,11165.73,4.17,154.56
SOLARINDS,EQ,13308,-0.46,120424.17,1.13,152.16
SAGILITY,EQ,44.82,-1.49,20981.71,334.18,148.74
TVSMOTOR,EQ,3829.4,-0.02,181929.86,3.87,147.53
OLAELEC,EQ,26.44,-3.89,11662.23,533.52,143.41
AMBER,EQ,7670,-0.46,26976.96,1.84,141.47
MOTHERSON,EQ,128.8,-0.83,135935.7,103.82,135.76
EDELWEISS,EQ,121,-0.93,11452.39,109.29,133.93
HDFCAMC,EQ,2706,-0.96,115859.55,4.57,124.72
AUROPHARMA,EQ,1157.1,-1.22,67204.56,10.72,124.54
ENGINERSIN,EQ,214.8,-1.25,12072.67,57.5,124.08
LTIM,EQ,4874,-1.72,144510.84,2.44,119.69
ADANIGREEN,EQ,967.2,-0.95,158755.61,12.21,118.85
MRPL,EQ,191,-1.42,33474.64,61.2,117.9
HDFCLIFE,EQ,730,-0.43,157505.96,16.01,116.94
COCHINSHIP,EQ,1515,-0.47,39856.74,7.66,116.53
JKTYRE,EQ,538,-3.53,15509.98,21.37,115.83
VBL,EQ,453.25,-0.06,153293.43,25.21,114.37
LUPIN,EQ,2224,-0.21,101646.41,5.1,113.17
TATAELXSI,EQ,4838,-0.03,30120.39,2.27,110.22
KPITTECH,EQ,831.8,-1.85,22803.28,13.11,109.92
FSL,EQ,244.5,-2.98,17041.43,44.92,108.63
CHOLAFIN,EQ,1671.5,-0.3,142359.89,6.44,107.83
SBICARD,EQ,782.1,-2.02,74423.5,12.93,102.37
HFCL,EQ,70.92,-0.64,10855.03,141.95,100.91
INOXWIND,EQ,96.44,-0.22,16667.13,103.98,100.56
NYKAA,EQ,264.4,-1.14,75699.26,37.64,100.25
PFOCUS,EQ,259,-5.31,20098.16,37.07,99.02
ITBEES,EQ,35.4,-0.87,3223.23,270.59,95.87
LEMONTREE,EQ,116.51,-3.28,9230.46,80.29,94.14
HEXT,EQ,521.45,-3.32,31861.43,17.22,89.97
VMM,EQ,116.2,-2.04,54300.29,75.47,87.95
APLAPOLLO,EQ,2177.4,-1.16,60452.47,3.9,86.05
DATAMATICS,EQ,780,-7.46,4610.3,10.1,82.53
PRESTIGE,EQ,1487,-0.34,64049.59,5.39,80.39
ZEEL,EQ,90.5,-2.37,8692.7,85.88,78.99
ATHERENERG,EQ,710,-3.23,27145.81,10.6,75.91
ZAGGLE,EQ,235.8,-2.38,3170.38,32.06,75.49
PIDILITIND,EQ,1463,-0.13,148891.56,5.01,73.53
CARTRADE,EQ,1979.3,-0.23,9469.55,3.59,71
IFCI,EQ,60,-2.31,16165.89,116.9,70.89
BAJAJHLDNG,EQ,11120,-0.61,123758.38,0.62,68.48
NBCC,EQ,94.85,-0.66,25609.5,66.25,63.22
GESHIP,EQ,1287,-0.46,18374.13,4.82,62.64
ICICIAMC,EQ,3021.7,-0.15,149350.1,2.05,61.99
HBLENGINE,EQ,719.6,-1.02,19946.95,8.42,60.91
OFSS,EQ,6634,-0.27,57730.08,0.91,60.79
FRACTAL,EQ,859.1,-2.14,14773.52,6.75,58.27
KFINTECH,EQ,1007.6,-0.82,17380.87,5.68,57.61
NEULANDLAB,EQ,12650,-2.84,16229.81,0.45,57.39
KIRLOSENG,EQ,1410,-0.69,20494.3,3.99,56.59
ONESOURCE,EQ,1268,-4.31,14533.97,4.43,56.44
TATACONSUM,EQ,1155.2,-0.46,114268.19,4.85,56.23
PARADEEP,EQ,118,-0.74,12248.03,47.24,55.71
BELRISE,EQ,183.29,-0.17,16310.6,28.7,52.56
NCC,EQ,149.18,-0.78,9366.22,34.34,51.13
APEX,EQ,436,-1.47,1362.5,11.57,51.01
PHOENIXLTD,EQ,1727.1,-0.88,61760.8,2.93,50.76
RADICO,EQ,2712,-0.49,36311.91,1.85,49.92
TDPOWERSYS,EQ,881.95,-0.24,13777.37,5.51,48.93
SMLMAH,EQ,4876.7,-5,7057.39,0.97,48.76
