Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RAJPUTANA,SM,222,-2.4,156.14,0.03,0.07
ELGNZ,SM,79.95,-2.02,180.68,0.08,0.06
TGL,ST,54.35,-4.98,65.22,0.12,0.06
CTE,EQ,32.72,-4.86,64.23,0.19,0.06
SNXT30BEES,EQ,39.78,-1.61,4.55,0.16,0.06
GOKUL,EQ,35.99,-0.44,356.28,0.17,0.06
ALBERTDAVD,EQ,680.2,-1.05,388.2,0.01,0.06
MOKSH,EQ,13.5,-1.82,119.14,0.45,0.06
SICALLOG,BE,89,-2.12,580.72,0.07,0.06
SENSEXADD,EQ,82.89,-1.79,8.56,0.07,0.06
VHL,EQ,3251,-0.06,1037.57,0,0.06
RTL,SM,61,-4.01,80.52,0.1,0.06
VCL,BE,2,-1.96,36.75,3.01,0.06
SHIVATEX,EQ,164.04,-0.67,212.64,0.04,0.06
AMDIND,EQ,42.5,-3.21,81.46,0.14,0.06
SURAJLTD,EQ,223.39,-0.06,410.24,0.03,0.06
GROWWLOVOL,EQ,10.32,-1.05,4.38,0.57,0.06
BAGFILMS,EQ,5.55,-0.54,109.75,1.05,0.06
KARNIKA,ST,116,-3.29,719.17,0.05,0.06
MOALPHA50,EQ,46.9,-3.08,5.28,0.12,0.06
76NHAI31,NA,1147.3,-0.23,3069.33,0.01,0.06
SIDDHICOTS,SM,29.65,-3.26,72.37,0.19,0.06
CINELINE,EQ,83.5,-2.76,286.12,0.07,0.06
AUROIMPEX,SM,32.1,-12.77,39.16,0.18,0.06
EQUAL200,EQ,12.77,-2.15,16.24,0.43,0.06
MOTOGENFIN,EQ,20.9,-4.7,80.94,0.26,0.06
KAYTEX,SM,56.5,-3.25,83.05,0.1,0.06
CONSOFINVT,EQ,164.6,-0.13,532.09,0.03,0.05
PELATRO,SM,295,-4.84,312.62,0.02,0.05
NIPPOBATRY,EQ,371.5,-0.39,278.63,0.01,0.05
FIDEL,SM,134,-3.6,184.26,0.04,0.05
ASTRON,EQ,4.41,-4.96,20.51,1.13,0.05
676GS2061,GS,94.5,-0.07,134284.08,0.06,0.05
KRITI,EQ,75.1,-1.46,395.75,0.07,0.05
UNITEDTEA,EQ,473.1,-0.04,236.39,0.01,0.05
ZODIACLOTH,EQ,81.35,-0.36,211.46,0.06,0.05
SONAMLTD,EQ,39.61,-1.05,158.57,0.13,0.05
CHEMBOND,EQ,146,-1.39,196.35,0.03,0.05
MOSERVICE,EQ,32.25,-2.89,5.08,0.15,0.05
CPCAP,EQ,98,-2.04,178.29,0.05,0.05
TICL,BE,21.73,-3.29,336.81,0.22,0.05
MAHAPEXLTD,EQ,90.61,-1.72,128.21,0.05,0.05
ENERGYDEV,BE,17.2,-2.55,81.7,0.28,0.05
NBIFIN,EQ,1971.1,-1.97,582.43,0,0.05
CLSL,SM,48,-1.03,82.27,0.1,0.05
BANG,EQ,43,-2.76,58.31,0.11,0.05
895AEL27,N9,1027.32,-1.14,83.71,0,0.05
CHETANA,SM,42.25,-3.98,86.19,0.11,0.05
MOMENTUM30,EQ,29.89,-1.03,5.27,0.16,0.05
MUKTAARTS,EQ,56,-1.72,126.48,0.08,0.05
HOACFOODS,ST,311,-1.27,134.99,0.01,0.05
SILINV,EQ,434.1,-3.28,459.97,0.01,0.05
RAMANEWS,EQ,30.5,-0.29,449.94,0.15,0.05
SGBMAY26,GB,15555.01,-9,1011.6,0,0.05
DELTIC,SM,38.05,-4.88,58.18,0.12,0.05
ORIENTLTD,EQ,60.9,-4.9,60.9,0.07,0.05
HDFCLOWVOL,EQ,20.63,-1.48,36.36,0.22,0.05
ANMOL,EQ,11.91,-0.92,67.78,0.38,0.05
JAINAM,SM,225.25,-4.37,263.79,0.02,0.05
KREBSBIO,EQ,56.88,-3.3,122.64,0.08,0.05
VALIANTLAB,EQ,57.25,-2.55,310.94,0.08,0.05
LOVABLE,EQ,71,-2.87,105.08,0.06,0.04
MOIPO,EQ,42.46,-0.14,4.67,0.1,0.04
FORGEAUTO,SM,92.8,-4.97,101.34,0.05,0.04
GSEC10YEAR,EQ,29.51,-0.47,93.44,0.15,0.04
CHAVDA,SM,111.7,-0.18,275.41,0.04,0.04
PATINTLOG,EQ,12.29,-0.89,85.52,0.36,0.04
DRCSYSTEMS,EQ,15.27,-0.13,220.01,0.29,0.04
ESPRIT,SM,67,-4.29,147.03,0.06,0.04
INM,SM,175,-10.69,244.84,0.02,0.04
ALPA,EQ,67.69,-0.66,142.42,0.06,0.04
667GS2035,GS,98.5,-2.48,121090.98,0.04,0.04
702GS2027,GS,101.5,-0.39,38570,0.04,0.04
SMARTEN,SM,57.7,-4.15,109.63,0.07,0.04
RBS,SM,87,-1.14,198.89,0.05,0.04
