Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
SILVERBEES,EQ,220.93,-12.5,31001.53,3217.75,6932.64
GOLDBEES,EQ,119.5,-2.3,51900.24,2797.91,3262.64
SILVERIETF,EQ,230,-12.76,15458.06,914.17,2061.45
SHRIRAMFIN,EQ,966,-3.17,181751.78,135.67,1297.03
TATSILV,EQ,22.37,-18.71,4455.33,5788.91,1292.66
AXISBANK,EQ,1309.2,-2.33,406566.72,86.47,1138.99
INFY,EQ,1627,-1.66,659695.59,67.85,1106.91
HAL,EQ,4348,-0.66,290783.37,25.64,1097.58
NETWEB,EQ,3190,-3.5,18072.58,32.05,1056.37
GROWW,EQ,164,-2.44,101246.98,633.1,1021.32
HDFCSILVER,EQ,214.84,-15,7377.42,453.82,968.01
TCS,EQ,3167,-0.62,1145848.32,26.36,834.3
BDL,EQ,1329,-3.98,48716.16,62.55,820.47
KAYNES,EQ,3479.2,-2.27,23322.7,23.25,798.4
IDEA,EQ,10.8,-0.64,117010.48,6931.08,737.47
TATAGOLD,EQ,14.19,-4.32,5045.93,4180.11,585.63
SILVER,EQ,228.95,-13.02,3258.99,248.26,554.47
SBISILVER,EQ,223,-13.98,5845.75,230.06,506.84
TITAN,EQ,3961.8,-0.59,351723.12,12.73,500.97
RVNL,EQ,324.5,-0.63,67658.9,153.66,488.57
GOLDIETF,EQ,123.87,-4.41,22181.51,390.47,474.03
BANKBARODA,EQ,278.35,-0.48,143944.87,162.35,446.66
ONGC,EQ,254.25,-0.02,319853.6,170.16,429.04
HDFCGOLD,EQ,121.2,-4.27,20500.52,347.08,416.94
MTARTECH,EQ,3035.6,-1.64,9337.38,13.17,404.89
POLICYBZR,EQ,1545,-4.58,71483.25,24.57,386.84
TRENT,EQ,3717,-0.32,132134.69,10.47,385.29
SETFGOLD,EQ,124.86,-1.09,21915.15,310.6,376.29
SWIGGY,EQ,308.75,-1.78,85224.68,115.54,354.96
INDIANB,EQ,837.4,-0.68,112794.76,41.29,339.44
BAJAJ-AUTO,EQ,9474,-0.27,264796.25,3.27,307.04
NAUKRI,EQ,1237.1,-1.4,80216.11,24.35,301.79
SILVERCASE,EQ,24.3,-9.33,1190.4,1297.23,297.32
LICHSGFIN,EQ,497.45,-2,27362.88,57.47,284.9
IDFCFIRSTB,EQ,81.43,-0.73,70011.43,354.56,284.64
GLENMARK,EQ,1922.2,-0.92,54244.64,14.88,280.61
MAXHEALTH,EQ,958.95,-1.82,93305.97,29.27,278.21
GAIL,EQ,160.55,-1.15,105563.22,173.76,277.73
VBL,EQ,465.9,-0.68,157566.86,57.19,267.72
LTF,EQ,278.15,-0.34,69620.3,91.94,251.38
OIL,EQ,483.5,-3.65,78646.49,51.78,249.26
CIPLA,EQ,1314.5,-1.08,106181.6,18.33,239.02
DIVISLAB,EQ,5968.5,-1.44,158444.92,4.01,238.14
APOLLOHOSP,EQ,6922.5,-0.37,99534.93,3.44,236.93
SILVERBETA,EQ,218.5,-13.4,1456.81,110.62,235.91
COCHINSHIP,EQ,1519.6,-2.25,39977.76,15.35,234.44
SILVER1,EQ,220.79,-13.79,2405.1,109.93,233.46
PIDILITIND,EQ,1415,-0.62,144006.54,15.94,224.67
HUDCO,EQ,188.3,-2.18,37695.78,118.57,217.23
FEDERALBNK,EQ,281.15,-1.39,69214.06,71.44,199.66
IEX,EQ,123,-1.5,10967.82,149.61,181.02
PATANJALI,EQ,494.3,-0.29,53771.35,36.2,177.89
SILVERADD,EQ,225,-11.61,2160.26,75.17,164.05
KALYANKJIL,EQ,367.95,-0.26,37996.82,43.5,157.1
GOLD1,EQ,121,-0.56,12482.32,132.54,153.97
GOLDETF,EQ,141.95,-4.28,2933.43,108.15,148.85
CLEAN,EQ,798.4,-1.19,8485.12,18.19,143.76
GOLDCASE,EQ,22.95,-0.86,1957.7,634.44,141.35
AXISGOLD,EQ,117.62,-1.28,4644.9,121.79,140.57
RPOWER,EQ,27.11,-0.55,11212.08,511.71,135.55
GODFRYPHLP,EQ,1940,-2.77,30260.46,6.92,131.76
DABUR,EQ,498.25,-0.77,88374.11,24.7,123.24
AXISILVER,EQ,233,-11.44,1845.99,54.2,123.08
LUPIN,EQ,2129.4,-0.27,97270.74,5.67,119.31
AUBANK,EQ,967.8,-1.2,72333.71,12.36,119.04
TORNTPHARM,EQ,3993,-0.1,135137.43,2.93,115.93
ZFCVINDIA,EQ,14850,-2.37,28166.86,0.77,115.77
PHOENIXLTD,EQ,1630,-0.65,58288.52,6.86,111.54
ATHERENERG,EQ,610,-2.56,23292.31,18.07,110.28
BHARATCOAL,EQ,39.06,-0.43,18190.24,282.65,108.59
KEC,EQ,620,-3.21,16504.4,17.47,107.04
LTIM,EQ,5995.5,-1.24,177760.13,1.75,104.61
PRESTIGE,EQ,1479.6,-1.38,63730.85,7.11,104.59
IFCI,EQ,56.1,-2.32,15115.1,181.72,101.65
