Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,794,-1.96,1222233.45,628.61,5045.18
ICICIBANK,EQ,1343.9,-0.31,962413.88,240.17,3246.22
BHARTIARTL,EQ,1835.5,-1.09,1118392.31,158.71,2917.8
SBIN,EQ,1066.7,-0.45,984629.98,203.13,2174.95
GROWW,EQ,203.8,-2.23,127855.9,576.48,1191.58
BAJFINANCE,EQ,906.95,-0.68,564317.16,118.05,1080.72
RAILTEL,EQ,335.2,-0.45,10757.86,264.16,910.18
M&M,EQ,3220,-1.12,400416.28,26.79,866.27
HDFCAMC,EQ,2657.8,-0.22,113860.2,29.5,787.55
SUNPHARMA,EQ,1695,-0.09,406677.7,45.13,760.9
HCLTECH,EQ,1448.5,-0.19,393074.39,52.3,756.29
AXISBANK,EQ,1350,-0.41,419623.48,52.32,707.24
INDIGO,EQ,4617,-0.45,178519.07,14.75,685.44
JIOFIN,EQ,241.51,-0.47,153434.72,261.8,632.36
MTARTECH,EQ,4814,-2.57,14807.67,12.43,604.85
TITAN,EQ,4462,-1.33,396130.18,12.84,574.73
COALINDIA,EQ,432.95,-0.65,266815.32,117.77,509.5
POWERINDIA,EQ,28300,-0.47,126139.79,1.71,481.07
HEROMOTOCO,EQ,5168,-2.26,103406.4,9.2,477.79
BAJAJ-AUTO,EQ,9824,-0.42,274578.68,4.79,470
KOTAKBANK,EQ,378.85,-0.93,376821.82,120.61,459.84
BPCL,EQ,308.3,-0.69,133753.89,140.67,435.67
ANGELONE,EQ,292.92,-1.63,26680.89,144.43,424.61
INDUSTOWER,EQ,413,-1.73,108956.12,98.08,408.17
HINDUNILVR,EQ,2139.1,-0.86,502601.07,18.46,395.28
RPOWER,EQ,28.85,-0.31,11931.7,1346.88,390.32
NTPC,EQ,391.15,-0.37,379285.1,98.97,387.94
ONGC,EQ,282.85,-1.65,355833.2,136.26,387.09
ASTRAL,EQ,1577,-3.31,42366.13,23.38,367.8
SIEMENS,EQ,3569.9,-0.17,127131.46,10.21,364.45
ULTRACEMCO,EQ,11775,-0.08,346984.72,3.09,363.77
CANBK,EQ,141.08,-0.44,127968.75,256.82,363.04
ATHERENERG,EQ,868.8,-0.26,33246.64,39.63,345.84
TEJASNET,EQ,432.5,-3.86,7683.94,78.7,339.99
JSWSTEEL,EQ,1216.9,-0.14,297587.29,26.86,328.18
FEDERALBNK,EQ,283.85,-1.05,69920.45,109.48,311.53
APOLLOHOSP,EQ,7562.5,-1.04,108737.15,4,303.33
TVSMOTOR,EQ,3770,-0.35,179107.84,7.85,295.76
MUTHOOTFIN,EQ,3582,-0.44,143806.01,7.35,265.73
ZEEL,EQ,80.24,-3,7707.21,329.66,265.45
BRITANNIA,EQ,5600,-0.96,134886.25,4.55,254.67
MOTHERSON,EQ,122.5,-0.85,129286.67,200.52,247.62
TMPV,EQ,356.6,-0.36,131322.43,68.71,245.02
INDIANB,EQ,938,-0.85,126345.22,25.17,236.76
POONAWALLA,EQ,405,-2.27,35650.07,58.36,236.6
LUPIN,EQ,2325,-0.59,106294.14,9.86,228.24
SUPREMEIND,EQ,3659.8,-4.45,46489.29,6.03,222.17
UNIONBANK,EQ,188.2,-0.27,143664.46,117.38,221.93
KALYANKJIL,EQ,439.95,-0.58,45435.41,50,219.94
GRASIM,EQ,2720,-0.78,185102.61,8.03,218.63
LICI,EQ,841.9,-0.03,532501.56,24.84,210
GVT&D,EQ,4070,-1.56,104210.94,4.93,201.17
HDFCLIFE,EQ,630.5,-1.55,136050.52,30.23,193.04
IOC,EQ,144.3,-0.63,203769.47,131.54,190.38
BAJAJFINSV,EQ,1825,-0.04,292100.37,10.35,189.98
HSCL,EQ,487.1,-0.68,24576.22,35.89,176.08
DELHIVERY,EQ,459,-0.17,34365.07,38.29,176.06
JINDALSTEL,EQ,1220,-0.11,124450.75,13.81,170.11
ICICIPRULI,EQ,556,-0.94,80596.13,30.16,169.71
OIL,EQ,462,-0.27,75149.28,36.13,167.29
GPIL,EQ,299.9,-1.14,20134.23,54.01,164.06
BANDHANBNK,EQ,173.5,-0.16,27950.37,93.12,162.82
SAMMAANCAP,EQ,155.2,-0.79,12860.91,103.4,161.32
BRIGADE,EQ,735.7,-0.45,17994.74,21.35,160.48
DABUR,EQ,427.8,-1.26,75878.47,36.39,157.17
LTF,EQ,280.5,-0.18,70256.81,54.25,152.88
DMART,EQ,4436.5,-0.82,289241.66,3.42,151.81
THERMAX,EQ,4080.1,-0.12,48616.96,3.63,149.87
MARICO,EQ,744,-1.53,96582.28,19.74,147.49
MFSL,EQ,1693.1,-0.38,58431.38,8.65,146.87
PRESTIGE,EQ,1339.3,-0.23,57687.7,10.74,142.99
ABCAPITAL,EQ,338.25,-1.59,88635.72,40.49,137.57
FORTIS,EQ,870.55,-0.8,65722.88,15.72,137.21
YATRA,EQ,121.86,-0.64,1912.18,109.59,136.3
AGIIL,EQ,358.8,-4.22,4484.91,37.24,135.62
NIACL,EQ,168.95,-1.94,27842.96,75.54,129.3
SONACOMS,EQ,581.5,-0.72,36160.4,21.61,125.93
TORNTPHARM,EQ,4156,-0.08,140653.94,3.04,125.68
HBLENGINE,EQ,783,-0.37,21704.36,15.8,123.83
MANKIND,EQ,2105,-0.82,86900.36,5.67,119.4
OLECTRA,EQ,1219,-0.61,10005.64,9.31,113.97
UPL,EQ,659,-0.12,55630.75,16.66,109.52
GMRAIRPORT,EQ,96.75,-2.49,102158.09,111.45,108.56
MEESHO,EQ,160.5,-1.87,73253.09,66.01,106.1
GODREJCP,EQ,1084.9,-0.06,111011.8,9.49,102.73
TATACHEM,EQ,708,-1.57,18036.74,14.44,102.01
AVANTIFEED,EQ,1399,-1.41,19060.76,7.16,99.68
MRPL,EQ,175.3,-0.28,30723.06,55.2,97.69
GLENMARK,EQ,2249.9,-0.38,63492.36,4.34,97.55
BANKBEES,EQ,577.56,-0.38,8128.54,16.08,93.16
BIOCON,EQ,350.25,-0.03,56772.29,26.53,93.08
