Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RELIANCE,EQ,1354.9,-0.62,1833523.67,272.94,3702.63
VEDL,EQ,767.45,-0.46,300102.73,305.63,2370.44
JIOFIN,EQ,234.9,-0.95,149235.3,463.45,1090.4
SBILIFE,EQ,1914,-3.46,191991.83,51.54,985.16
TRITURBINE,EQ,567.5,-1.51,18040.54,111.82,639.3
BEL,EQ,451.5,-1.32,330036.51,134.92,613.03
SUNPHARMA,EQ,1666.2,-0.14,399767.77,36.31,606.3
MCX,EQ,2829,-1.05,72137.19,21.27,602.77
SHRIRAMFIN,EQ,1045,-0.01,245855.73,56.99,596.82
OLAELEC,EQ,37.68,-3.93,16620.01,1423.31,543.71
WAAREEENER,EQ,3472,-0.49,99872.54,14.78,519.99
APOLLO,EQ,287,-0.79,10254.29,141.21,406.68
ONGC,EQ,283.2,-0.05,356273.51,136.46,386.73
NTPC,EQ,396.25,-0.44,384230.4,94.94,378.84
CUMMINSIND,EQ,5116.7,-1.61,141834.92,7.18,371.83
TATASTEEL,EQ,211.6,-0.06,264151.43,174.27,370.38
AVANTIFEED,EQ,1452.2,-3.41,19785.59,23.73,362.43
SWSOLAR,EQ,209.51,-1.21,4892.72,168.13,360.65
RADICO,EQ,3261.4,-2.36,43669.47,11,359.37
POLYCAB,EQ,7945,-3.09,119617.65,4.43,356.78
GMDCLTD,EQ,690.2,-0.15,21948.36,48.43,337.41
SAMMAANCAP,EQ,148.81,-2.14,12331.39,218.38,328.4
TECHM,EQ,1499,-0.36,146878.2,20.02,300.09
TITAN,EQ,4484,-0.64,398083.31,6.56,294.79
INDIANB,EQ,923.6,-0.51,124405.59,30.97,286.86
BAJAJ-AUTO,EQ,9800,-0.03,273907.88,2.91,285.62
POWERGRID,EQ,319.2,-0.16,296875.27,83.42,267.05
NATIONALUM,EQ,424,-0.62,77873.19,61.85,262.92
PFC,EQ,470.7,-0.45,155335.79,54.78,258.73
HINDCOPPER,EQ,552.4,-0.75,53418.41,46.14,257.29
EICHERMOT,EQ,7220,-0.32,198054.86,3.53,256.54
CDSL,EQ,1362,-0.61,28465.8,16.43,224.4
NMDC,EQ,88.43,-0.53,77746.04,243.39,215.65
AEQUS,EQ,190.5,-2.1,12776.18,109.17,215.05
AMBER,EQ,7843.5,-1.72,27602.58,2.68,212.96
HINDZINC,EQ,588,-0.39,248448.76,34.24,202.91
KEI,EQ,4827,-1.1,46146.41,4.12,200.89
YESBANK,EQ,19.78,-0.3,62069.16,968.21,191.8
ZEEL,EQ,86.4,-1.37,8298.89,217.15,190.44
DMART,EQ,4590,-0.33,299249.24,4.11,188.76
CPPLUS,EQ,2243,-1.35,26422.11,8.01,183.05
FORCEMOT,EQ,21885,-0.18,28522.53,0.83,182.22
OFSS,EQ,7980,-1.27,69454.04,2.15,173
HEROMOTOCO,EQ,5268,-0.27,105407.29,3.21,169.45
KALYANKJIL,EQ,414.9,-0.62,42848.39,40.54,169.26
CUB,EQ,264.9,-0.32,19683.32,63.52,168.46
APARINDS,EQ,11734,-2.03,47133.5,1.4,167.86
LAURUSLABS,EQ,1117.5,-1.06,60328.97,14.93,167.31
TVSMOTOR,EQ,3752,-0.26,178252.69,4.39,165.66
QPOWER,EQ,1269,-0.65,9827.66,12.84,163.63
GODFRYPHLP,EQ,2117,-0.97,33021.34,7.39,157.21
GMRAIRPORT,EQ,97.3,-0.15,102738.84,157.5,154.08
DRREDDY,EQ,1220.9,-0.95,101900.7,12.31,150.41
GALLANTT,EQ,868,-0.12,20943.19,16.42,141.12
JPPOWER,EQ,19.02,-0.31,13035.28,738.66,141.01
NAVINFLUOR,EQ,6375.5,-1.48,32662.95,2.19,140.87
SIEMENS,EQ,3708.3,-0.02,132060.17,3.71,139.14
SMLMAH,EQ,4000,-7.44,5788.66,3.35,136.94
APEX,EQ,475,-2.05,1484.38,26.7,131.1
JSWCEMENT,EQ,127.9,-1.2,17437.44,95.87,125.84
APLAPOLLO,EQ,2114,-1.39,58696.99,5.94,125.84
OIL,EQ,464.95,-1.43,75629.13,26.59,124.17
LUPIN,EQ,2312.9,-0.68,105740.96,5.28,122.52
ICICIGI,EQ,1832,-2.37,91335.76,6.33,116.9
ATGL,EQ,614.2,-0.99,67550.34,18.44,114.59
KRN,EQ,1215,-2.47,7552.03,9.25,114.15
SRF,EQ,2464.1,-0.04,73042.04,4.61,114.15
PREMIERENE,EQ,994,-1.66,45027.64,11.29,113.3
ICICIPRULI,EQ,551,-1.24,79871.35,20.39,111.75
ASTRAL,EQ,1587,-0.28,42634.78,6.97,110.75
COROMANDEL,EQ,2050.7,-1.17,60498.65,5.3,109.83
MFSL,EQ,1654,-2.06,57081.98,6.49,107.89
THERMAX,EQ,4150,-0.84,49449.86,2.62,107.44
LICI,EQ,824.25,-0.46,521337.94,12.79,105.87
AGIIL,EQ,365.8,-1.68,4572.4,28.11,105.48
NHPC,EQ,82.54,-0.67,82911.72,126.3,105.46
TDPOWERSYS,EQ,1019,-1.14,15918.29,9.83,100.92
IREDA,EQ,128.98,-0.89,36233.46,73.93,96.05
TORNTPHARM,EQ,4126,-1.56,139638.63,2.31,96
COLPAL,EQ,2115,-0.66,57524.96,4.51,94.54
NTPCGREEN,EQ,111.68,-1.17,94105.25,81.97,92.49
WOCKPHARMA,EQ,1402.4,-0.08,22786.98,6.42,92.02
NATCOPHARM,EQ,1058,-3.82,18949.82,8.56,91.52
WAAREERTL,EQ,1068.5,-1.58,11149.35,8.48,91.01
NLCINDIA,EQ,301.25,-1.02,41772.43,27.94,84.7
BELRISE,EQ,218.9,-1.48,19479.46,37.13,82.06
ERIS,EQ,1378,-3.8,19091.21,5.86,81.73
TEJASNET,EQ,406.65,-1.98,7227.87,19.63,80.31
SAILIFE,EQ,959,-0.04,20309.63,8.36,80.13
BLUESTARCO,EQ,1875,-0.74,38552.77,4.22,79.66
ASIANTILES,EQ,75.19,-2.82,2229.2,100.76,77.02
CANHLIFE,EQ,143.5,-4.69,13632.5,52.62,75.79
UPL,EQ,653.55,-0.47,55170.68,11.45,75.22
FIRSTCRY,EQ,252.3,-0.35,13171.32,28.83,73.52
BAJAJCON,EQ,459.5,-3.12,6001.91,15.13,69.28
COHANCE,EQ,360.2,-2.44,13780.07,19.07,69.03
IRCTC,EQ,562.25,-0.52,44980,12.22,68.96
NBCC,EQ,93.21,-0.12,25166.7,72.24,67.79
PAGEIND,EQ,37980,-1.11,42362.41,0.18,67.32
SUPREMEIND,EQ,3662,-1.34,46517.24,1.8,66.61
MPHASIS,EQ,2416.3,-0.03,46107.73,2.75,66.6
