Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GAYAPROJ,BE,18.35,-4.97,343.51,2.47,0.46
AMBIKCO,EQ,1451,-0.42,830.7,0.03,0.44
YUKEN,EQ,716,-0.39,972.61,0.06,0.41
GCHOTELS,SM,99,-1.25,246.7,0.41,0.41
REPRO,EQ,348.2,-0.41,499.5,0.11,0.4
ZEELEARN,EQ,5.13,-1.91,167.78,7.94,0.4
764NABAR31,N2,1094.97,-1.09,1925.76,0.04,0.4
DJML,BE,91.41,-0.42,314.25,0.43,0.39
KHAITANLTD,EQ,136.66,-2.76,64.91,0.28,0.39
GTPL,EQ,66.41,-0.33,746.87,0.56,0.38
FINBUD,SM,124.9,-4.95,237.93,0.29,0.37
SGBMAR31IV,GB,15400,-0.42,5438.64,0,0.36
SGBDE30III,GB,15250,-0.06,4286.79,0,0.35
ESFL,ST,131.6,-4.26,326.88,0.26,0.35
RKSWAMY,EQ,87,-0.21,439.15,0.39,0.34
AMBALALSA,EQ,34.8,-1.28,266.68,0.96,0.34
SANGANI,SM,51.5,-0.77,70.95,0.65,0.34
HDFCPSUBK,EQ,89.45,-0.58,35.26,0.37,0.33
TIGERLOGS,EQ,32,-0.84,338.32,1.03,0.33
RCOM,BE,0.98,-1.01,271.02,33.42,0.32
AARTECH,EQ,47.95,-4.18,152.34,0.66,0.32
PARSVNATH,BE,7.89,-1,343.36,4.02,0.32
STEL,EQ,451.05,-2.24,832.43,0.07,0.32
VISHWARAJ,BE,5.95,-4.19,129.61,5.22,0.31
AURIGROW,EQ,0.37,-2.63,54.62,84.26,0.31
KNAGRI,EQ,190,-4.87,474.98,0.15,0.3
DCI,BE,303.6,-3.74,485.76,0.1,0.3
AMBEY,ST,36.7,-0.94,91.55,0.8,0.29
DELPHIFX,EQ,12.55,-3.39,307.81,2.23,0.29
HILINFRA,BE,51.55,-0.67,369.72,0.54,0.28
LAMBODHARA,EQ,103.55,-2.8,107.46,0.27,0.28
GEMAROMA,BE,166.51,-0.34,869.8,0.16,0.27
INDTERRAIN,EQ,30.84,-4.93,156.26,0.87,0.27
INNOVANA,EQ,382,-1.41,789.21,0.07,0.27
PELATRO,SM,290.1,-2.32,307.43,0.09,0.27
SDL26BEES,EQ,136.55,-0.75,4187.17,0.2,0.27
717GS2030,GS,102,-1.11,105060,0.26,0.27
COOLCAPS,SM,26.3,-1.68,304.03,0.99,0.26
CMNL,SM,127.1,-5.85,306.75,0.2,0.26
PREMIERPOL,BE,53.34,-0.39,558.7,0.48,0.26
725GS2063,GS,98.65,-0.19,236760,0.26,0.26
ELGIRUBCO,EQ,51,-1.51,255.25,0.49,0.25
DSFCL,EQ,24.91,-0.44,216.7,0.99,0.25
JAYBEE,ST,106,-1.62,239.22,0.23,0.24
MARC,ST,91,-2.05,157.55,0.26,0.24
LAKSHYA,ST,147.25,-4.07,148.49,0.16,0.24
VGINFOTECH,SM,149,-0.33,370.54,0.16,0.24
HOACFOODS,SM,399.9,-1.5,173.57,0.06,0.24
BSHSL,EQ,100.35,-1.72,1053.05,0.23,0.24
CENTEXT,EQ,21.01,-0.24,168.08,1.09,0.23
BLAL,EQ,189.52,-0.38,789.25,0.12,0.23
VIPCLOTHNG,EQ,22.82,-0.95,205.68,1.01,0.23
GAYAHWS,EQ,2.3,-3.77,55.12,9.94,0.23
TTKHLTCARE,EQ,905.5,-1.62,1279.5,0.03,0.23
HALEOSLABS,EQ,1350,-2.73,408.14,0.02,0.23
MEGATHERM,SM,281,-0.37,529.42,0.08,0.23
NRVANDANA,SM,49,-1.41,114.14,0.45,0.22
DHARAN,BZ,0.15,-6.25,78.43,149.14,0.22
TTL,BE,7.99,-2.2,206.39,2.78,0.22
726GS2032,GS,103,-0.48,152440,0.21,0.22
CANARYS,SM,19.35,-3.49,113.67,1.12,0.22
KRITI,EQ,80.2,-2.25,422.62,0.27,0.22
SAHLIBHFI,EQ,80,-1.8,247.11,0.27,0.22
SCHAND,EQ,159.25,-0.27,561.71,0.13,0.21
871REC28,N9,1106,-0.81,1295.66,0.02,0.21
SPECIALITY,EQ,99,-1.88,477.53,0.21,0.21
FERMENTA,EQ,310.2,-2.58,912.95,0.07,0.21
NILE,EQ,1634.5,-0.58,490.66,0.01,0.21
DANGEE,EQ,3.58,-4.53,55.12,5.7,0.21
NRL,EQ,54.58,-0.15,376.98,0.37,0.2
VCL,EQ,1.42,-1.39,26.09,14.32,0.2
MASKINVEST,EQ,170,-8.26,51.88,0.11,0.2
NORBTEAEXP,EQ,62,-1.57,96.37,0.31,0.2
SANGINITA,BE,20.65,-1.99,53.49,0.94,0.19
BANARISUG,EQ,3606,-0.49,4521.82,0.01,0.19
BBNPPGOLD,EQ,145.1,-0.58,339.23,0.13,0.19
AXITA,EQ,8.2,-0.36,313.69,2.27,0.19
MAHESHWARI,EQ,50,-0.12,147.99,0.36,0.18
RHFL,BZ,2.01,-4.74,97.4,8.91,0.18
OMFREIGHT,EQ,79,-1.47,266.04,0.22,0.18
