Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ATLASCYCLE,EQ,93.6,-1.14,60.88,0.02,0.02
RADIOWALLA,SM,53,-4.16,37.36,0.03,0.02
SFML,SM,26.25,-3.14,65.18,0.06,0.02
BABAFP,SM,26.9,-5.78,43.92,0.06,0.02
OBCL,EQ,54.05,-0.39,113.95,0.03,0.02
YCCL,SM,11.15,-0.45,21.52,0.15,0.02
EQUIPPP,BE,17.6,-2.11,181.45,0.09,0.02
MONIFTY100,EQ,26,-0.54,9.36,0.06,0.02
ROLLT,BE,1.18,-2.48,29.52,1.37,0.02
WILLAMAGOR,EQ,28.52,-1.49,31.25,0.06,0.02
DCMFINSERV,EQ,4.04,-0.25,7.59,0.42,0.02
JOCIL,EQ,128.84,-0.12,114.42,0.01,0.02
CRAYONS,SM,40.35,-0.37,98.58,0.04,0.02
KALYANIFRG,EQ,602,-1.56,219.01,0,0.02
RAJTV,EQ,39.1,-0.31,202.98,0.04,0.02
KALANA,SM,19.15,-2.3,24.97,0.08,0.02
MSCIINDIA,EQ,30.16,-0.53,1670.09,0.05,0.02
PNC,EQ,23.4,-4.68,33.85,0.06,0.02
79NHIT40,N2,311.5,-1.11,467.25,0,0.02
SOMATEX,BE,114.91,-2,379.58,0.01,0.02
LICNFNHGP,EQ,282.95,-0.07,758.17,0.01,0.01
MANUGRAPH,EQ,14.65,-0.14,44.56,0.1,0.01
SATECH,ST,49.4,-0.4,64.5,0.03,0.01
DCG,SM,59.25,-4.44,107.54,0.02,0.01
FLFL,BZ,1.25,-4.58,25.22,1.15,0.01
DOLLEX,SM,35.35,-6.48,141.22,0.04,0.01
ATAM,EQ,74,-0.28,84.83,0.02,0.01
TOTAL,EQ,67,-2.2,108.05,0.02,0.01
ARUNAYA,SM,17.1,-1.44,29.99,0.08,0.01
PRECISION,SM,8.4,-4.55,19.29,0.16,0.01
SGBMAY26,GB,17101,-7.36,1112.14,0,0.01
AXISTECETF,EQ,416.79,-0.77,195.09,0,0.01
LOYALTEX,EQ,199.01,-2.44,95.85,0.01,0.01
WELINV,EQ,1235.3,-2.59,451.44,0,0.01
ARTNIRMAN,EQ,41.9,-3.68,104.57,0.03,0.01
GILT10BETA,EQ,25.87,-0.46,23.27,0.05,0.01
MOSERVICE,EQ,33.23,-0.57,5.23,0.04,0.01
648GS2035,GS,99.5,-0.3,127360,0.01,0.01
SENSEXADD,EQ,84.4,-0.38,8.72,0.01,0.01
ANIKINDS,EQ,48.7,-0.57,135.16,0.02,0.01
1003IIFL29,NC,980,-2,53.24,0,0.01
BIKEWO,ST,20,-1.48,26.09,0.06,0.01
965SCL25C,N0,397.4,-2.84,7.25,0,0.01
BILVYAPAR,BE,7.13,-0.56,22.36,0.17,0.01
729IRFC26,NN,1023.5,-0.1,195.2,0,0.01
ACCORD,SM,28,-3.28,9.72,0.04,0.01
9SCL27,N2,1000.2,-1.17,10.42,0,0.01
EFORCE,SM,30.35,-3.96,71.02,0.04,0.01
812REC27,NI,1076.1,-0.13,2324.73,0,0.01
ITBETA,EQ,396.18,-1.23,5.44,0,0.01
LAXMICOT,EQ,13.27,-4.46,22.75,0.08,0.01
TAPIFRUIT,SM,67.5,-2.17,29.03,0.01,0.01
UWCSL,SM,98.15,-4.62,51.07,0.01,0.01
930AEL30,NF,1052,-0.28,235.9,0,0.01
INFOMEDIA,EQ,5.96,-0.67,29.92,0.16,0.01
AISL,SM,75.1,-4.94,87.77,0.01,0.01
DELTAMAGNT,EQ,64.54,-0.29,70.03,0.01,0.01
CBAZAAR,ST,3.6,-1.37,7.72,0.24,0.01
71GS2034,GS,103.5,-0.19,165600,0.01,0.01
865SCL27,N4,970,-2.02,24.69,0,0.01
QVCEL,SM,25.9,-3.18,27.07,0.03,0.01
AATMAJ,SM,20.6,-9.45,46.56,0.04,0.01
MOMGF,EQ,149.9,-0.39,1.87,0.01,0.01
PARTYCRUS,SM,80.5,-3.01,96.12,0.01,0.01
12AFIL27A,N0,9947,-0.26,29.84,0,0.01
SEL,SM,199,-0.5,46.14,0,0.01
NIDAN,SM,15.25,-0.97,21.2,0.05,0.01
MOIPO,EQ,42.4,-0.12,4.66,0.02,0.01
NPBET,EQ,296.31,-0.38,11.37,0,0.01
CELEBRITY,EQ,7.89,-1.25,47.09,0.1,0.01
898LTF29,N7,1053,-1.59,107.14,0,0.01
TIRUPATI,ST,583.05,-4.99,590.63,0,0.01
KONTOR,SM,60.95,-0.08,37.67,0.01,0.01
IL&FSTRANS,BZ,2.75,-2.14,90.46,0.26,0.01
ARENTERP,EQ,40.32,-0.49,12.53,0.02,0.01
743GS2076,GS,101,-0.82,13130,0.01,0.01
ONDOOR,SM,117.5,-0.34,66.37,0.01,0.01
AXSENSEX,EQ,84.8,-0.24,134.16,0.01,0.01
AMBICAAGAR,EQ,23.88,-0.29,41.02,0.03,0.01
764HUDCO31,N8,1093,-0.73,607.87,0,0.01
10IIFL28A,NE,1070.5,-0.42,294.06,0,0.01
ASHALOG,SM,64.65,-0.92,87.64,0.01,0.01
NEXTMEDIA,EQ,5.17,-1.71,34.58,0.13,0.01
ANSALAPI,BZ,2.92,-1.68,45.96,0.21,0.01
RITEZONE,SM,19.25,-3.75,8.14,0.03,0.01
ITTL,ST,78.6,-2,78.6,0.01,0.01
SYNOPTICS,SM,48.3,-3.4,40.96,0.01,0.01
628GS2032,GS,96.55,-2.47,63723,0.01,0.01
957ISFL26,N2,983.11,-0.7,33.47,0,0.01
QFIL,SM,55.2,-4.83,15.75,0.01,0.01
84TCHF28,NA,1023.9,-0.01,92.73,0,0.01
736PFCL28,N2,1058,-1.12,377.7,0,0.01
NEXT50ADD,EQ,67,-1.75,6.51,0.01,0.01
MTEDUCARE,BE,1.43,-2.05,10.33,0.36,0.01
865LTF26,NN,1013,-0.38,403.36,0,0
REGENCERAM,EQ,44.1,-1.17,116.61,0.01,0
MOTOGENFIN,EQ,21.81,-0.64,84.46,0.02,0
91D090426,TB,98.7,-0.15,8883,0,0
UMESLTD,EQ,4.61,-0.22,12.18,0.08,0
1018GS2026,GS,106.54,-0.15,15981,0,0
SMVD,ST,8.45,-4.52,8.48,0.04,0
