Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
GUJALKALI,EQ,452,1.6,3319.35,0.22,0.97
AXISNIFTY,EQ,278.28,0.32,1213.91,0.35,0.96
GOACARBON,EQ,393.7,2.61,360.28,0.24,0.96
MAXIND,EQ,157.52,7.53,826.2,0.62,0.96
MUFTI,EQ,91.27,2.1,596.63,1.05,0.95
BHAGCHEM,EQ,205,1.18,2658.22,0.46,0.95
TARSONS,EQ,198.2,0.39,1054.55,0.48,0.94
DWARKESH,EQ,34.43,1.68,637.99,2.76,0.94
SHANTIGEAR,EQ,454.1,2.56,3483.67,0.21,0.94
DCMSRIND,EQ,37.94,1.55,330.05,2.5,0.93
UTSSAV,SM,226,2.47,538.29,0.41,0.93
PIGL,EQ,103.15,4.99,183.95,0.92,0.93
TOLINS,EQ,119,2.79,470.16,0.78,0.92
NIFTYBETA,EQ,278.27,0.42,68597.8,0.33,0.91
MANBA,EQ,135.28,3.77,679.64,0.68,0.91
SIGNPOST,EQ,209,2.72,1117.11,0.44,0.91
SHRIAHIMSA,SM,242,7.92,564.59,0.37,0.91
WINDMACHIN,EQ,269.7,2.12,2348.67,0.34,0.91
FRESHARA,SM,180.2,5.01,423.46,0.51,0.9
ICEMAKE,EQ,725.1,0.07,1144.19,0.12,0.9
GANESHBE,EQ,71.05,0.81,511.48,1.27,0.9
SHIVALIK,EQ,313.25,1.87,493.38,0.29,0.9
AVANA,ST,71.9,4.96,162.82,1.3,0.9
SOUTHWEST,BE,190.73,5,568.95,0.48,0.9
SAGCEM,EQ,192.81,4.76,2520.17,0.47,0.89
AMBIKCO,EQ,1255,3.33,718.49,0.07,0.89
GROWWEV,EQ,29.99,2.53,257.68,3.03,0.89
VIVIANA,SM,604.95,4.75,612.5,0.15,0.89
HDFCMID150,EQ,21.84,2.3,146.85,4.1,0.88
ANDHRAPAP,EQ,63.01,1.38,1252.96,1.4,0.88
LEMERITE,EQ,463,0.37,1159.06,0.19,0.88
WSI,EQ,79.39,3.67,523.33,1.11,0.88
ARROWGREEN,EQ,435.6,4.85,657.23,0.2,0.87
KRONOX,EQ,123,0.56,456.38,0.71,0.87
VISHNUINFR,SM,201,6.32,494.65,0.45,0.87
LOKESHMACH,EQ,168,5.98,335.95,0.53,0.87
ATL,EQ,24.01,4.94,700.75,3.66,0.87
ELECTHERM,EQ,809,2.82,1030.89,0.11,0.87
STEELXIND,EQ,7.84,0.13,977.82,11.06,0.87
SJLOGISTIC,SM,332.95,5.1,509.18,0.26,0.86
DHARIWAL,ST,395.95,1.12,354.43,0.22,0.86
NIFTYCASE,EQ,10.1,0.7,15.34,8.54,0.86
GROWWPOWER,EQ,9.44,3.51,81.41,9.12,0.85
UFO,EQ,81.79,3.87,317.47,1.06,0.85
TINNARUBR,EQ,650,0.29,1171.02,0.13,0.85
PENINLAND,EQ,20.45,5.36,678.38,4.2,0.84
PAKKA,EQ,93.45,7.53,420.04,0.91,0.83
MADRASFERT,EQ,76.8,4.67,1237.26,1.1,0.83
BLUSPRING,EQ,61.43,2.57,915,1.35,0.83
AHCL,EQ,128.08,1.25,680.76,0.65,0.83
MCLEODRUSS,EQ,41.48,4.99,433.28,2.02,0.82
VERTIS,IV,109.8,0.73,16579.62,0.75,0.82
NAHARSPING,EQ,154.3,2.29,556.49,0.53,0.81
ALLTIME,EQ,230,1.21,1506.68,0.35,0.8
VAL30IETF,EQ,15.55,2.57,22.12,5.16,0.8
SAURASHCEM,EQ,70.11,0.14,780,1.12,0.79
AVADHSUGAR,EQ,330.8,1.36,662.21,0.24,0.79
SIS,EQ,326.55,0.45,4610.32,0.24,0.79
RUSTOMJEE,EQ,473.8,1.26,5980.81,0.17,0.79
TTKPRESTIG,EQ,597.5,2.34,8182.82,0.13,0.79
TVTODAY,EQ,124,0.44,739.89,0.63,0.78
TRANSWORLD,EQ,179.9,7.74,395.02,0.45,0.78
SMALL250,EQ,15.68,2.08,16.21,5,0.78
ZODIAC,EQ,262,5.6,396.24,0.29,0.77
BIGBLOC,EQ,60.2,6.02,852.29,1.32,0.77
MVGJL,EQ,169,2.46,825.52,0.47,0.77
MASTERTR,EQ,101.5,1.74,1248.61,0.77,0.77
UNICHEMLAB,EQ,376.75,2.68,2652.54,0.2,0.77
SANOFICONR,EQ,4106,0.19,9456.37,0.02,0.77
SGBNV29VII,GB,17890,2.81,5811.1,0,0.77
SGBJUN29II,GB,17600,1.35,3341.32,0,0.76
DENTALKART,SM,606,2.16,1050.61,0.13,0.76
TIRUPATIFL,EQ,33.42,3.47,408.66,2.31,0.76
REMSONSIND,EQ,109.95,3.44,383.49,0.7,0.76
NELCAST,EQ,91,1.96,791.71,0.84,0.76
SANATHAN,EQ,442.75,1.32,3736.99,0.17,0.76
OAL,EQ,282,5.34,949.03,0.27,0.75
INDOAMIN,EQ,114.7,1.37,832.58,0.66,0.75
CONNPLEX,SM,253,1.2,483.23,0.3,0.75
SUPREMEPWR,SM,157,14.56,392.36,0.49,0.75
AONETOTAL,EQ,11.65,1.39,46.65,6.45,0.75
3IINFOLTD,EQ,14.86,2.2,308.19,4.94,0.74
CHEMCON,EQ,173.89,2.96,636.97,0.43,0.74
APTECHT,EQ,82.45,1.02,478.23,0.9,0.74
SENSEXIETF,EQ,940,0.63,26179.07,0.08,0.74
ANDHRSUGAR,EQ,70.46,2.82,954.98,1.05,0.73
LIKHITHA,EQ,162.32,2.31,640.35,0.45,0.73
GULPOLY,EQ,130.01,1.63,810.88,0.56,0.73
915APSBC33,N0,103127.95,1.3,566.17,0,0.72
SHAH,EQ,4.98,1.63,440.84,14.2,0.72
RPPINFRA,EQ,88,4.3,436.36,0.83,0.72
HERANBA,EQ,216,3.62,864.29,0.34,0.72
TERASOFT,EQ,374.1,5,468.07,0.2,0.72
AFIL,EQ,5.05,1.81,215.51,14.31,0.71
MONOLITH,SM,494.95,2.32,1075.82,0.14,0.69
HONDAPOWER,EQ,2010,0.26,2038.76,0.03,0.69
CEWATER,EQ,392.45,3.54,812.22,0.18,0.69
BFINVEST,EQ,368.75,1.43,1388.99,0.19,0.69
SMARTWORKS,EQ,443.25,0.33,5064.67,0.15,0.69
MANAKCOAT,EQ,129.75,3.04,1373.2,0.53,0.68
LIQUIDSHRI,EQ,1089.85,0.01,33.14,0.06,0.68
MAKEINDIA,EQ,153.53,2.24,222.55,0.44,0.68
PILANIINVS,EQ,4685,1.14,5187.35,0.01,0.67
CHEMICAL,EQ,27.99,2.49,30.94,2.4,0.66
NUCLEUS,EQ,876.6,0.71,2307.68,0.07,0.66
TASTYBITE,EQ,6811,0.21,1747.7,0.01,0.66
SASKEN,EQ,1266,2.72,1917.08,0.05,0.65
HESTERBIO,EQ,1428,1.67,1214.78,0.05,0.65
RNFI,SM,296.6,13.03,743.3,0.23,0.65
FILATFASH,EQ,0.3,3.45,250.02,223.83,0.65
SGBDE30III,GB,18577.99,1.64,5222.29,0,0.65
NDRINVIT,IV,129,2.79,5108.56,0.5,0.65
VILAS,SM,346,1.87,847.01,0.19,0.64
CIFL,EQ,33.29,1.56,1301.83,1.95,0.64
E2ERAIL,SM,223,2.29,384.84,0.29,0.64
TARACHAND,EQ,79.99,11.33,630.52,0.86,0.64
EUROPRATIK,EQ,236.55,0.15,2417.54,0.27,0.63
CLSEL,EQ,234,0.78,1163.58,0.27,0.63
SATKARTAR,SM,140,10.28,220.43,0.46,0.62
ABSMARINE,SM,184,3.37,451.72,0.34,0.62
INDOUS,EQ,131.9,5.52,264.49,0.48,0.62
INDUSINVIT,IV,121.41,0.21,5377.72,0.51,0.62
AONENIFTY,EQ,10.4,0.78,15.19,5.97,0.62
XCHANGING,EQ,70.56,1.53,786.06,0.88,0.62
SGBD29VIII,GB,17800,0.82,4415.28,0,0.61
SGBAPR28I,GB,17801.89,2.44,3156.05,0,0.61
PIXTRANS,EQ,1281.4,0.38,1745.93,0.05,0.61
OBCL,EQ,55,1.31,115.96,1.12,0.61
SGBAUG29V,GB,17849,0.32,4092.32,0,0.61
BIRLACABLE,EQ,129,3.75,387,0.47,0.6
TRACXN,EQ,33.7,2.71,359.51,1.8,0.6
SOTL,EQ,354,2.86,2427.04,0.17,0.6
GICL,ST,44.9,0.22,502.68,1.32,0.6
INDIANHUME,EQ,389,2.69,2049.32,0.16,0.6
SREEL,EQ,219,2.39,507.09,0.27,0.6
EXPLEOSOL,EQ,905.6,1.87,1405.47,0.07,0.59
