"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","25,624.30","-1.71","-1.71","29.83","4.39","1.24"
"NIFTY FINANCIAL SERVICES 25/50","27,661.85","-0.08","-0.08","16.13","2.82","1.00"
"NIFTY FMCG","50,900.10","-0.30","-0.30","35.69","8.97","1.62"
"NIFTY IT","28,389.80","2.43","2.43","19.32","5.27","3.69"
"NIFTY MEDIA","1,404.00","-2.24","-2.24","26.67","1.48","1.25"
"NIFTY METAL","13,169.95","-0.98","-0.98","19.48","3.45","1.57"
"NIFTY PHARMA","24,762.85","0.52","0.52","38.92","5.40","0.64"
"NIFTY PSU BANK","7,873.00","-1.92","-1.92","7.65","1.28","2.46"
"NIFTY PRIVATE BANK","26,159.95","0.23","0.23","17.19","2.08","0.62"
"NIFTY REALTY","751.95","-0.58","-0.58","33.55","3.60","0.39"
"NIFTY HEALTHCARE INDEX","15,785.85","0.22","0.22","42.11","5.92","0.54"
"NIFTY CONSUMER DURABLES","34,916.75","-1.80","-1.80","61.57","11.41","0.40"
"NIFTY OIL & GAS","11,162.50","-0.78","-0.78","9.22","1.54","2.32"
"NIFTY MIDSMALL HEALTHCARE","48,102.20","0.14","0.14","44.31","5.93","0.40"
"NIFTY FINANCIAL SERVICES EX-BANK","31,190.35","-0.10","-0.10","22.47","4.29","0.73"
"NIFTY MIDSMALL FINANCIAL SERVICES","21,772.60","-0.08","-0.08","28.28","3.27","0.49"
"NIFTY MIDSMALL IT & TELECOM","8,973.85","1.60","1.60","57.62","8.39","1.00"
"NIFTY CHEMICALS","28,911.50","-0.92","-0.92","46.43","4.26","0.60"
"NIFTY500 HEALTHCARE","20,177.50","0.18","0.18","43.35","6.16","0.50"
"NIFTY REITS & REALTY","1,754.70","0.03","0.03","47.19","2.44","3.34"
"NIFTY CEMENT","14,776.05","-0.72","-0.72","28.73","2.31","0.46"
