"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","27,259.85","-0.29","-0.29","30.58","4.67","1.17"
"NIFTY FINANCIAL SERVICES 25/50","28,478.95","-1.52","-1.52","16.66","2.90","0.97"
"NIFTY FMCG","51,165.90","0.19","0.19","36.03","9.02","1.61"
"NIFTY IT","29,394.20","1.21","1.21","19.96","5.45","3.58"
"NIFTY MEDIA","1,472.80","0.04","0.04","30.94","1.55","1.19"
"NIFTY METAL","13,050.95","-0.87","-0.87","22.45","3.42","1.58"
"NIFTY PHARMA","24,110.30","-0.10","-0.10","35.97","5.25","0.66"
"NIFTY PSU BANK","8,371.95","-3.06","-3.06","8.15","1.36","2.35"
"NIFTY PRIVATE BANK","26,561.70","-0.82","-0.82","17.45","2.11","0.61"
"NIFTY REALTY","823.60","-0.47","-0.47","37.39","3.94","0.35"
"NIFTY HEALTHCARE INDEX","15,416.80","0.17","0.17","39.24","5.78","0.55"
"NIFTY CONSUMER DURABLES","37,314.00","0.69","0.69","58.60","12.19","0.38"
"NIFTY OIL & GAS","11,598.85","-0.94","-0.94","9.64","1.58","2.28"
"NIFTY MIDSMALL HEALTHCARE","47,641.05","0.16","0.16","44.71","5.88","0.41"
"NIFTY FINANCIAL SERVICES EX-BANK","32,208.30","-0.60","-0.60","23.44","4.43","0.74"
"NIFTY MIDSMALL FINANCIAL SERVICES","22,278.25","-0.06","-0.06","29.52","3.35","0.50"
"NIFTY MIDSMALL IT & TELECOM","8,945.25","1.49","1.49","57.58","8.35","1.04"
"NIFTY CHEMICALS","29,632.00","0.18","0.18","47.62","4.37","0.58"
"NIFTY500 HEALTHCARE","19,827.10","0.27","0.27","40.93","6.05","0.51"
