"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","28,028.20","-0.73","-0.73","33.13","4.80","1.13"
"NIFTY FINANCIAL SERVICES 25/50","30,738.25","0.45","0.45","17.86","3.10","0.90"
"NIFTY FMCG","51,318.85","0.82","0.82","37.10","9.21","1.60"
"NIFTY IT","32,738.05","0.17","0.17","23.26","6.07","3.24"
"NIFTY MEDIA","1,450.05","-0.87","-0.87","30.43","1.53","1.25"
"NIFTY METAL","11,955.00","0.69","0.69","20.28","3.11","1.54"
"NIFTY PHARMA","22,403.15","0.94","0.94","33.81","4.88","0.63"
"NIFTY PSU BANK","9,304.40","1.50","1.50","9.23","1.52","2.06"
"NIFTY PRIVATE BANK","29,031.80","1.19","1.19","20.33","2.29","0.54"
"NIFTY REALTY","836.70","1.59","1.59","37.69","4.05","0.36"
"NIFTY HEALTHCARE INDEX","14,518.00","0.93","0.93","37.11","5.45","0.53"
"NIFTY CONSUMER DURABLES","37,861.05","0.65","0.65","60.25","11.86","0.39"
"NIFTY OIL & GAS","12,084.65","0.90","0.90","10.37","1.66","2.10"
"NIFTY MIDSMALL HEALTHCARE","42,655.70","1.02","1.02","40.27","5.21","0.40"
"NIFTY FINANCIAL SERVICES EX-BANK","31,865.65","-0.16","-0.16","23.91","4.49","0.76"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,778.15","-0.29","-0.29","28.94","2.99","0.65"
"NIFTY MIDSMALL IT & TELECOM","9,209.90","0.90","0.90","65.48","9.01","1.18"
"NIFTY CHEMICALS","28,398.20","-0.09","-0.09","39.92","4.19","0.59"
"NIFTY500 HEALTHCARE","18,427.90","0.94","0.94","38.24","5.57","0.50"
