"INDEX NAME 
","LAST 
","CHNG 
","%CHNG 
","P/E 
","P/B 
","DIV YIELD 
"
"NIFTY AUTO","28,466.50","1.85","1.85","33.65","4.88","1.11"
"NIFTY FINANCIAL SERVICES 25/50","30,749.05","0.31","0.31","17.87","3.10","0.92"
"NIFTY FMCG","52,105.30","-0.25","-0.25","37.58","9.33","1.58"
"NIFTY IT","30,526.35","1.57","1.57","21.69","5.66","3.47"
"NIFTY MEDIA","1,417.40","0.46","0.46","29.75","1.49","1.28"
"NIFTY METAL","12,399.40","2.70","2.70","21.03","3.23","1.48"
"NIFTY PHARMA","23,051.85","1.85","1.85","34.50","5.02","0.68"
"NIFTY PSU BANK","9,787.20","-0.39","-0.39","9.71","1.60","1.96"
"NIFTY PRIVATE BANK","28,980.95","0.38","0.38","20.29","2.29","0.54"
"NIFTY REALTY","796.85","-0.19","-0.19","35.89","3.86","0.37"
"NIFTY HEALTHCARE INDEX","14,898.35","1.59","1.59","37.84","5.59","0.57"
"NIFTY CONSUMER DURABLES","37,516.90","0.15","0.15","59.70","11.75","0.39"
"NIFTY OIL & GAS","12,188.90","-0.18","-0.18","10.30","1.66","2.12"
"NIFTY MIDSMALL HEALTHCARE","43,907.45","1.75","1.75","41.12","5.36","0.43"
"NIFTY FINANCIAL SERVICES EX-BANK","32,077.25","0.74","0.74","24.07","4.52","0.78"
"NIFTY MIDSMALL FINANCIAL SERVICES","20,882.30","0.66","0.66","29.08","3.00","0.63"
"NIFTY MIDSMALL IT & TELECOM","8,524.25","0.28","0.28","60.61","8.34","1.27"
"NIFTY CHEMICALS","27,886.70","0.50","0.50","39.35","4.11","0.62"
"NIFTY500 HEALTHCARE","18,887.65","1.41","1.41","38.99","5.71","0.54"
